parameter,mean,sd,q05,q95,rhat,ess
"z[232,4]",-0.181,0.917,-1.681,1.339,1,8487
"z[233,4]",-0.294,0.915,-1.82,1.229,1,8650
"z[234,4]",-0.17,0.926,-1.67,1.369,1,8687
"z[235,4]",0.024,0.964,-1.565,1.605,1,8428
"z[236,4]",-0.051,0.981,-1.68,1.565,1,9233
"z[237,4]",0.117,0.954,-1.431,1.708,1,8508
"z[238,4]",0.099,0.965,-1.483,1.692,1,9128
"z[239,4]",0.401,0.986,-1.208,2.013,1,8461
"z[240,4]",-0.056,0.976,-1.647,1.555,1,8845
"z[241,4]",-0.341,0.98,-1.966,1.246,1,8651
"z[242,4]",0.03,0.994,-1.614,1.668,1,8840
"z[243,4]",-0.121,0.975,-1.738,1.484,1,8635
"z[244,4]",-0.308,0.969,-1.895,1.267,1,8528
"z[245,4]",-0.133,0.988,-1.766,1.462,1,8922
"z[246,4]",0.273,0.962,-1.314,1.856,1,8872
"z[247,4]",0.082,0.964,-1.52,1.628,1,8625
"z[248,4]",0.698,0.99,-0.913,2.302,1,7491
"z[249,4]",-0.029,0.926,-1.596,1.504,1,8357
"z[250,4]",0.176,0.986,-1.449,1.773,1,8585
"z[251,4]",-0.119,0.984,-1.744,1.514,1.001,9187
"z[252,4]",0.09,0.975,-1.525,1.675,1,8638
"z[253,4]",-0.135,0.976,-1.725,1.46,1,8987
"z[254,4]",0.294,0.963,-1.29,1.87,1,8582
"z[255,4]",-0.339,0.939,-1.85,1.225,1.001,8876
"z[256,4]",-0.235,0.98,-1.843,1.397,1,8400
"z[257,4]",-0.645,1.014,-2.303,1.039,1,7957
"z[258,4]",0.023,0.992,-1.594,1.635,1.001,9153
"z[259,4]",0.134,0.997,-1.492,1.777,1.001,8818
"z[260,4]",0.266,0.992,-1.376,1.919,1.001,8196
"z[261,4]",-0.122,0.994,-1.751,1.51,1,8462
"z[262,4]",-0.436,0.972,-2.055,1.166,1,7138
"z[263,4]",-0.223,0.952,-1.781,1.356,1,9074
"z[264,4]",0.392,0.926,-1.157,1.871,1,8425
"z[265,4]",0.159,0.961,-1.41,1.746,1,8971
"z[266,4]",0.259,0.938,-1.308,1.785,1,8619
"z[267,4]",0.006,0.924,-1.537,1.504,1,8593
"z[268,4]",-0.025,0.997,-1.666,1.64,1,9046
"z[269,4]",0.46,0.993,-1.175,2.078,1,7331
"z[270,4]",-0.086,0.997,-1.737,1.562,1,8960
"z[271,4]",0.025,0.987,-1.592,1.642,1,8669
"z[272,4]",0.338,0.96,-1.245,1.92,1,8641
"z[273,4]",-0.179,0.961,-1.758,1.399,1,8450
"z[274,4]",-0.26,0.965,-1.817,1.334,1,8251
"z[275,4]",-0.15,0.99,-1.775,1.485,1,8774
"z[276,4]",0.368,0.948,-1.196,1.899,1,8664
"z[277,4]",0.059,0.967,-1.52,1.653,1,8808
"z[278,4]",-0.204,0.909,-1.679,1.294,1,8849
"z[279,4]",0.066,0.95,-1.518,1.64,1,9047
"z[280,4]",-0.095,0.986,-1.694,1.526,1,8535
"z[281,4]",-0.149,0.941,-1.681,1.406,1,8782
"z[282,4]",0.109,0.977,-1.509,1.706,1.001,8734
"z[283,4]",-0.399,0.937,-1.913,1.169,1,8863
"z[284,4]",1.076,0.99,-0.614,2.652,1,6209
"z[285,4]",0.083,0.92,-1.436,1.581,1,8675
"z[286,4]",-0.075,0.912,-1.576,1.407,1.001,9270
"z[287,4]",-0.245,0.988,-1.848,1.394,1,9097
"z[288,4]",0.294,0.969,-1.313,1.875,1,8890
"z[289,4]",-0.034,0.947,-1.611,1.539,1.001,8828
"z[290,4]",-0.004,0.937,-1.534,1.565,1,8882
"z[291,4]",0.029,1.009,-1.652,1.675,1.001,8661
"z[292,4]",0.067,0.978,-1.539,1.681,1.001,8618
"z[293,4]",0.265,0.957,-1.306,1.843,1.001,8067
"z[294,4]",-0.105,0.997,-1.729,1.529,1,8698
"z[295,4]",-0.606,0.942,-2.128,1.01,1,8024
"z[296,4]",-0.042,0.972,-1.611,1.569,1,8855
"z[297,4]",-0.065,0.921,-1.575,1.466,1.001,8403
"z[298,4]",-0.029,0.928,-1.562,1.484,1,8103
"z[299,4]",0.262,0.919,-1.27,1.777,1,7822
"z[300,4]",-0.057,0.992,-1.673,1.565,1,9486
"z[301,4]",0.032,1.004,-1.633,1.663,1,8842
"z[302,4]",-0.047,1.004,-1.714,1.625,1,8885
"z[303,4]",-0.146,0.955,-1.705,1.449,1,8923
"z[304,4]",0.057,0.933,-1.475,1.58,1,9094
"z[305,4]",-0.045,0.923,-1.537,1.479,1,8962
"z[306,4]",-0.404,0.962,-1.992,1.191,1,7794
"z[307,4]",0.234,0.993,-1.413,1.875,1,8455
"z[308,4]",-0.023,0.949,-1.589,1.561,1,8446
"z[309,4]",-0.6,0.937,-2.102,0.939,1,7716
"z[310,4]",-0.356,0.943,-1.939,1.22,1,8993
"z[311,4]",-0.252,0.92,-1.775,1.264,1,8557
"z[312,4]",0.339,0.956,-1.263,1.882,1.001,9001
"z[313,4]",-0.312,0.966,-1.88,1.27,1,8755
"z[314,4]",-0.181,0.959,-1.772,1.417,1,8794
"z[315,4]",-0.563,0.993,-2.18,1.093,1,8109
"z[316,4]",-0.034,0.991,-1.661,1.617,1,9205
"z[317,4]",0.199,0.973,-1.419,1.793,1,8256
"z[318,4]",0.054,0.985,-1.562,1.666,1,8551
"z[319,4]",0.13,0.965,-1.465,1.703,1,9043
"z[320,4]",0.136,0.972,-1.456,1.733,1.001,8334
"z[321,4]",-0.29,0.948,-1.847,1.256,1.001,8924
"z[322,4]",0.191,1.002,-1.446,1.826,1,9014
"z[323,4]",0.329,0.951,-1.248,1.866,1,8901
"z[324,4]",-0.317,0.997,-1.964,1.319,1,8799
"z[325,4]",0.172,0.956,-1.411,1.726,1,8545
"z[326,4]",-0.201,0.97,-1.777,1.387,1,8533
"z[327,4]",0.058,0.933,-1.49,1.602,1.001,7765
"z[328,4]",-0.538,0.93,-2.05,0.984,1.001,8457
"z[329,4]",-0.098,0.936,-1.632,1.435,1,8927
"z[330,4]",0.05,0.913,-1.468,1.558,1,8583
"z[331,4]",-0.129,0.959,-1.703,1.456,1,8898
"z[332,4]",0.169,0.979,-1.446,1.773,1.001,8412
"z[333,4]",-0.291,0.951,-1.809,1.274,1.001,8737
"z[334,4]",-0.024,0.991,-1.655,1.594,1,8401
"z[335,4]",-0.235,0.959,-1.809,1.335,1,8401
"z[336,4]",-0.009,0.978,-1.62,1.583,1,9112
"z[337,4]",-0.084,0.96,-1.646,1.491,1,9355
"z[338,4]",-0.134,0.916,-1.622,1.391,1.001,9072
"z[339,4]",0.17,0.909,-1.332,1.629,1,8351
"z[340,4]",0.285,0.931,-1.272,1.801,1,8406
"z[341,4]",0.306,0.925,-1.216,1.845,1,8537
"z[342,4]",0.479,0.949,-1.142,1.997,1.001,7872
"z[343,4]",-0.04,0.957,-1.627,1.539,1,8902
"z[344,4]",0.296,0.98,-1.326,1.902,1,8792
"z[345,4]",-0.033,0.946,-1.596,1.528,1,8330
"z[346,4]",0.131,0.906,-1.383,1.613,1,8109
"z[347,4]",0.007,0.997,-1.631,1.627,1,9115
"z[348,4]",0.009,0.962,-1.554,1.593,1,9039
"z[349,4]",-0.043,0.967,-1.643,1.542,1.001,8446
"z[350,4]",0.056,0.924,-1.439,1.586,1.001,8594
"z[351,4]",0.159,0.954,-1.439,1.707,1,9129
"z[352,4]",0.321,0.942,-1.236,1.867,1,8861
"z[353,4]",-0.178,0.94,-1.715,1.374,1,8841
"z[354,4]",-0.079,0.953,-1.62,1.507,1,9251
"z[355,4]",-0.514,0.94,-2.055,1.026,1,8229
"z[356,4]",-0.092,0.947,-1.654,1.453,1,9193
"z[357,4]",0.623,0.934,-0.909,2.162,1,7442
"z[358,4]",0.024,1.006,-1.634,1.692,1,9042
"z[359,4]",0.048,0.992,-1.58,1.681,1,8885
"z[360,4]",-0.049,0.987,-1.661,1.576,1,8374
"z[361,4]",-0.36,0.933,-1.878,1.195,1.001,8256
"z[362,4]",-0.017,1.012,-1.675,1.649,1,9189
"z[363,4]",0.014,1.001,-1.62,1.667,1.001,9118
"z[364,4]",0.036,0.998,-1.599,1.673,1,8600
"z[365,4]",-0.137,0.923,-1.646,1.397,1,8681
"z[366,4]",-0.132,0.916,-1.622,1.387,1,8480
"z[367,4]",0.433,0.917,-1.066,1.914,1,7426
"z[368,4]",0.039,0.993,-1.582,1.671,1,8144
"z[369,4]",0.01,0.93,-1.528,1.526,1,9238
"z[370,4]",-0.036,0.993,-1.683,1.619,1.001,8520
"z[371,4]",-0.161,0.918,-1.65,1.346,1,8537
"z[372,4]",-0.005,0.986,-1.627,1.66,1,9413
"z[373,4]",0.736,1.01,-0.956,2.355,1,7255
"z[374,4]",0.336,0.923,-1.192,1.831,1,8456
"z[375,4]",0.305,0.944,-1.252,1.845,1,8339
"z[376,4]",0.384,0.913,-1.132,1.87,1,8015
"z[377,4]",-0.464,0.954,-1.993,1.141,1,8461
"z[378,4]",0.318,0.976,-1.268,1.927,1,9034
"z[379,4]",-0.057,0.959,-1.627,1.533,1,9108
"z[380,4]",-0.3,0.917,-1.792,1.2,1.001,8809
"z[381,4]",0.087,0.913,-1.4,1.593,1.001,8290
"z[382,4]",-0.337,0.956,-1.898,1.222,1,9335
"z[383,4]",0.065,0.974,-1.547,1.682,1.001,8696
"z[384,4]",-0.062,0.906,-1.523,1.457,1,8464
"z[385,4]",0.227,0.929,-1.291,1.712,1,9074
"z[386,4]",0.139,0.979,-1.464,1.749,1,8652
"z[387,4]",-0.083,0.916,-1.589,1.402,1,8568
"z[388,4]",-0.018,0.982,-1.644,1.59,1,9045
"z[389,4]",0.168,0.927,-1.38,1.688,1,8435
"z[390,4]",-0.036,0.947,-1.594,1.523,1.001,8866
"z[391,4]",-0.031,0.971,-1.618,1.578,1,8702
"z[392,4]",0.331,0.964,-1.294,1.895,1,7532
"z[393,4]",-0.093,0.915,-1.616,1.41,1,8982
"z[394,4]",0.189,0.926,-1.354,1.688,1,8357
"z[395,4]",-0.141,0.99,-1.789,1.517,1,8830
"z[396,4]",-0.043,0.993,-1.683,1.578,1,8520
"z[397,4]",0.194,1.004,-1.48,1.852,1,8745
"z[398,4]",-0.007,0.977,-1.605,1.611,1,8330
"z[399,4]",-0.027,1.008,-1.654,1.658,1.001,8578
"z[400,4]",-0.108,0.981,-1.74,1.5,1,9159
"z[401,4]",0.009,0.995,-1.629,1.637,1,9075
"z[402,4]",0.423,0.94,-1.105,1.973,1,8090
"z[403,4]",0.039,1.007,-1.639,1.682,1,8610
"z[404,4]",0.338,0.959,-1.212,1.914,1.001,8434
"z[405,4]",0.133,0.967,-1.467,1.723,1,8763
"z[406,4]",0.268,0.932,-1.291,1.788,1,8787
"z[407,4]",0.652,1.022,-1.025,2.364,1,7654
"z[408,4]",-0.027,0.999,-1.696,1.61,1.001,9404
"z[409,4]",0.07,0.967,-1.514,1.67,1,8876
"z[410,4]",-0.063,0.977,-1.684,1.541,1,9172
"z[411,4]",-0.08,0.982,-1.716,1.5,1,9014
"z[412,4]",-0.234,1.003,-1.916,1.39,1,9090
"z[413,4]",0.026,0.991,-1.637,1.657,1,8718
"z[414,4]",-0.332,0.919,-1.845,1.197,1,8766
"z[415,4]",-0.042,0.998,-1.676,1.616,1,8772
"z[416,4]",-0.052,0.909,-1.563,1.436,1,8844
"z[417,4]",-0.27,0.92,-1.772,1.255,1,8726
"z[418,4]",-0.204,0.975,-1.79,1.386,1,9005
"z[419,4]",-0.331,0.969,-1.916,1.266,1,8914
"z[420,4]",0.04,0.98,-1.573,1.643,1,9107
"z[421,4]",-0.063,0.99,-1.693,1.564,1,8778
"z[422,4]",-0.161,0.925,-1.669,1.37,1,8765
"z[423,4]",-0.635,0.936,-2.119,0.924,1,8107
"z[424,4]",-0.175,0.918,-1.673,1.351,1,8598
"z[425,4]",-0.325,0.905,-1.808,1.189,1,8123
"z[426,4]",-0.193,0.951,-1.752,1.387,1,8814
"z[427,4]",-0.088,0.982,-1.66,1.509,1,8891
"z[428,4]",-0.055,0.983,-1.699,1.562,1,9148
"z[429,4]",0.004,0.945,-1.559,1.562,1,8891
"z[430,4]",0.165,0.936,-1.398,1.716,1.001,8057
"z[431,4]",-0.064,1.007,-1.702,1.618,1,8626
"z[432,4]",0.401,0.932,-1.155,1.894,1,8532
"z[433,4]",0.072,0.988,-1.567,1.691,1,9183
"z[434,4]",0.373,0.97,-1.25,1.972,1,9044
"z[435,4]",0.045,0.999,-1.587,1.68,1,8757
"z[436,4]",-0.36,0.97,-1.931,1.249,1.001,8485
"z[437,4]",-0.039,0.979,-1.655,1.588,1,8608
"z[438,4]",0.063,0.986,-1.561,1.683,1,9496
"z[439,4]",-0.175,0.96,-1.738,1.416,1,8982
"z[440,4]",0.065,0.978,-1.533,1.669,1,8049
"z[441,4]",0.148,0.909,-1.341,1.638,1.001,8713
"z[442,4]",-0.043,0.985,-1.665,1.557,1,8914
"z[443,4]",0.107,0.991,-1.56,1.72,1.001,8445
"z[444,4]",-0.13,0.991,-1.747,1.513,1,8926
"z[445,4]",-1.122,1.017,-2.727,0.594,1,5911
"z[446,4]",0.33,0.928,-1.207,1.834,1.001,8472
"z[447,4]",0.321,0.941,-1.226,1.871,1,7313
"z[448,4]",-0.239,0.974,-1.837,1.363,1,8442
"z[449,4]",-0.327,0.937,-1.855,1.255,1,8220
"z[450,4]",0.015,1.005,-1.671,1.69,1,8628
"z[451,4]",0.222,0.95,-1.347,1.791,1,8350
"z[452,4]",0.637,0.986,-1.011,2.251,1,7358
"z[453,4]",-0.189,1.003,-1.818,1.432,1,8618
"z[454,4]",0.493,0.984,-1.11,2.123,1,7435
"z[455,4]",-0.286,0.968,-1.897,1.332,1,8353
"z[456,4]",0.138,0.952,-1.417,1.715,1,8018
"z[457,4]",-0.506,0.929,-2.047,1.017,1,8249
"z[458,4]",-0.681,0.947,-2.234,0.888,1,8200
"z[459,4]",0.051,0.982,-1.565,1.676,1,8519
"z[460,4]",0.119,0.92,-1.4,1.616,1,8632
"z[461,4]",0.315,0.96,-1.254,1.885,1,8647
"z[462,4]",0.409,0.913,-1.101,1.898,1,8106
"z[463,4]",0.069,1.005,-1.564,1.723,1,8454
"z[464,4]",0.491,0.939,-1.093,2.009,1,7366
"z[465,4]",0.027,0.974,-1.56,1.634,1,8837
"z[466,4]",0.012,0.975,-1.583,1.585,1,8987
"z[467,4]",-0.147,0.921,-1.66,1.369,1.001,8645
"z[468,4]",-0.117,0.944,-1.697,1.418,1,8718
"z[469,4]",-0.194,0.989,-1.816,1.448,1,8683
"z[470,4]",-0.083,1.008,-1.729,1.614,1,8793
"z[471,4]",-0.109,0.992,-1.734,1.516,1,8637
"z[472,4]",0.305,1.012,-1.372,1.962,1,8953
"z[473,4]",-0.076,1.003,-1.738,1.598,1.001,8189
"z[474,4]",0.062,0.987,-1.551,1.66,1.001,8948
"z[475,4]",-0.167,0.953,-1.766,1.406,1,8658
"z[476,4]",-0.063,0.975,-1.653,1.545,1,8733
"z[477,4]",0.038,0.955,-1.548,1.591,1,8759
"z[478,4]",0.255,0.948,-1.314,1.812,1,8950
"z[479,4]",-0.037,0.985,-1.693,1.582,1,8619
"z[480,4]",-0.001,0.974,-1.586,1.634,1,8570
"z[481,4]",-0.169,0.988,-1.807,1.446,1,8811
"z[482,4]",0.048,0.949,-1.515,1.608,1,8873
"z[483,4]",-0.195,0.916,-1.682,1.337,1,8904
"z[484,4]",-0.153,0.922,-1.65,1.382,1,8682
"z[485,4]",-0.035,0.99,-1.649,1.592,1,8991
"z[486,4]",-0.187,0.995,-1.844,1.428,1,9046
"z[487,4]",0.236,0.957,-1.371,1.797,1,8474
"z[488,4]",-0.302,0.981,-1.912,1.305,1,8759
"z[489,4]",0.01,0.997,-1.628,1.693,1,9090
"z[490,4]",-0.146,1.012,-1.813,1.508,1,9087
"z[491,4]",-0.146,0.963,-1.724,1.439,1,8480
"z[492,4]",0.148,0.978,-1.479,1.769,1,8838
"z[493,4]",-0.151,0.974,-1.738,1.475,1,8850
"z[494,4]",0.28,0.914,-1.218,1.754,1,8755
"z[495,4]",0.544,0.976,-1.061,2.157,1,8503
"z[496,4]",0.35,0.971,-1.257,1.943,1.001,8714
"z[497,4]",-0.053,0.962,-1.629,1.552,1,8290
"z[498,4]",-0.209,1,-1.846,1.434,1,8824
"z[499,4]",0.004,0.983,-1.595,1.64,1,8857
"z[500,4]",0.211,0.974,-1.414,1.83,1.001,8531
"z[501,4]",0.223,0.903,-1.303,1.672,1,8850
"z[502,4]",0.15,0.914,-1.356,1.638,1,8309
"z[503,4]",0.148,0.945,-1.42,1.678,1,9068
"z[504,4]",-0.022,0.989,-1.623,1.611,1,9859
"z[505,4]",-0.028,0.924,-1.547,1.501,1,8450
"z[506,4]",-0.064,1.013,-1.733,1.595,1.001,8392
"z[507,4]",0.222,0.904,-1.286,1.678,1,9195
"z[508,4]",-0.079,0.9,-1.548,1.4,1,9162
"z[509,4]",-0.052,0.986,-1.668,1.575,1,9214
"z[510,4]",-0.084,1.004,-1.73,1.558,1,9062
"z[511,4]",0.164,0.969,-1.419,1.786,1.001,8722
"z[512,4]",0.544,0.939,-0.999,2.091,1,7675
"z[513,4]",-0.17,0.988,-1.782,1.466,1,8268
"z[514,4]",-0.023,0.999,-1.669,1.633,1,9212
"z[515,4]",-0.017,0.982,-1.627,1.606,1,9193
"z[516,4]",-0.105,0.982,-1.715,1.514,1,8578
"z[517,4]",-0.035,1.002,-1.704,1.58,1,9399
"z[518,4]",0.06,0.988,-1.546,1.663,1.001,8857
"z[519,4]",-0.074,0.981,-1.695,1.526,1.001,8929
"z[520,4]",-0.105,0.977,-1.723,1.509,1,8908
"z[521,4]",0.101,0.958,-1.475,1.677,1,8598
"z[522,4]",0.071,0.989,-1.549,1.731,1,8659
"z[523,4]",0.002,0.993,-1.646,1.631,1,8419
"z[524,4]",-0.101,1.003,-1.722,1.578,1,9134
"z[525,4]",-0.11,0.98,-1.683,1.527,1,9101
"z[526,4]",-0.099,0.984,-1.701,1.491,1,8711
"z[527,4]",0.076,0.981,-1.53,1.7,1,8224
"z[528,4]",-0.135,0.972,-1.711,1.459,1,8964
"z[529,4]",0.109,0.998,-1.514,1.762,1,8678
"z[530,4]",-0.016,0.975,-1.614,1.596,1,8650
"z[531,4]",0.133,1.006,-1.518,1.78,1,8432
"z[532,4]",-0.23,0.969,-1.829,1.378,1,8443
"z[533,4]",-0.113,0.963,-1.665,1.491,1,9000
"z[534,4]",-0.241,0.984,-1.873,1.355,1,8677
"z[535,4]",0.076,0.979,-1.539,1.684,1,8623
"z[536,4]",-0.03,0.961,-1.62,1.571,1,8233
"z[537,4]",0.09,0.963,-1.487,1.68,1,8565
"z[538,4]",-0.274,0.988,-1.883,1.36,1,8544
"z[539,4]",-0.497,1.044,-2.236,1.2,1.001,8034
"z[540,4]",-0.3,1.038,-2.023,1.383,1,8535
"z[541,4]",-0.006,0.997,-1.663,1.613,1,9104
"z[542,4]",-0.038,0.967,-1.597,1.563,1,8712
"z[543,4]",0.108,0.998,-1.549,1.726,1,8581
"z[544,4]",0.066,0.994,-1.541,1.707,1,8326
"z[545,4]",-0.018,0.989,-1.643,1.596,1,9017
"z[546,4]",-0.289,1.001,-1.949,1.326,1,8593
"z[547,4]",-0.28,0.98,-1.883,1.345,1,8537
"z[548,4]",-0.217,0.973,-1.833,1.377,1,8306
"z[549,4]",0.305,0.991,-1.327,1.946,1,7463
"z[550,4]",-0.225,1.002,-1.862,1.405,1,8369
"z[551,4]",-0.036,0.986,-1.641,1.582,1,8920
"z[552,4]",0.062,0.978,-1.524,1.693,1,8952
"z[553,4]",-0.037,0.963,-1.581,1.58,1,7793
"z[554,4]",0.044,0.998,-1.603,1.664,1,9265
"z[555,4]",0.152,0.956,-1.445,1.713,1,8796
"z[556,4]",0.061,0.993,-1.578,1.719,1,8999
"z[557,4]",-0.062,0.969,-1.646,1.56,1.001,8943
"z[558,4]",-0.356,1.017,-2.014,1.343,1,8012
"z[559,4]",0.048,0.97,-1.555,1.662,1,9283
"z[560,4]",-0.013,0.986,-1.648,1.578,1,8974
"z[561,4]",-0.126,0.982,-1.767,1.465,1,9025
"z[562,4]",0.187,0.98,-1.411,1.804,1.001,8088
"z[563,4]",-0.158,0.986,-1.785,1.465,1,8497
"z[564,4]",-0.035,0.975,-1.649,1.546,1,8753
"z[565,4]",-0,0.99,-1.618,1.638,1.001,8623
"z[566,4]",0.11,0.969,-1.505,1.671,1,8938
"z[567,4]",0.055,0.984,-1.571,1.693,1,8265
"z[568,4]",0.16,0.974,-1.45,1.762,1,8810
"z[569,4]",0.052,0.983,-1.551,1.655,1.001,8440
"z[570,4]",0.243,0.978,-1.364,1.845,1,8443
"z[571,4]",-0.034,0.975,-1.619,1.594,1,8854
"z[572,4]",-0.332,0.993,-1.976,1.317,1,8672
"z[573,4]",0.402,0.995,-1.237,1.997,1,8462
"z[574,4]",0.015,0.991,-1.608,1.639,1.001,8858
"z[575,4]",-0.032,0.991,-1.67,1.605,1,8217
"z[576,4]",0,0.986,-1.624,1.621,1,8592
"z[577,4]",0.041,0.985,-1.603,1.644,1,8888
"z[578,4]",0.073,0.983,-1.523,1.686,1,8837
"z[579,4]",-0.055,0.973,-1.669,1.568,1,8498
"z[580,4]",0.574,1.041,-1.127,2.254,1.001,7456
"z[581,4]",0.006,0.971,-1.597,1.583,1.001,9478
"z[582,4]",-0.035,1.003,-1.72,1.619,1,8708
"z[583,4]",-0.108,0.965,-1.666,1.487,1,8927
"z[584,4]",0.119,0.972,-1.469,1.689,1,7921
"z[585,4]",0.251,0.978,-1.351,1.856,1.001,8243
"z[586,4]",-0.027,0.991,-1.628,1.631,1,8571
"z[587,4]",-0.038,0.971,-1.626,1.58,1,9086
"z[588,4]",0.057,0.977,-1.554,1.653,1,8735
"z[589,4]",0.112,0.969,-1.474,1.713,1,9243
"z[590,4]",0.109,0.989,-1.544,1.712,1.001,8875
"z[591,4]",-0.027,0.954,-1.594,1.528,1,8857
"z[592,4]",-0.013,0.975,-1.605,1.605,1,8877
"z[593,4]",-0.082,0.977,-1.667,1.529,1,8945
"z[594,4]",-0.124,0.976,-1.706,1.489,1,9000
"z[595,4]",-0.04,0.991,-1.663,1.588,1,8732
"z[596,4]",0.04,0.991,-1.578,1.657,1,8755
"z[597,4]",-0.048,0.97,-1.639,1.538,1.001,8644
"z[598,4]",0.151,0.974,-1.457,1.757,1,8930
"z[599,4]",0.09,0.991,-1.548,1.714,1.001,9075
"z[600,4]",-0.046,1.019,-1.701,1.635,1,8756
"z[601,4]",-0.068,0.969,-1.654,1.516,1,8740
"z[602,4]",0.056,0.993,-1.59,1.7,1,9302
"z[603,4]",0.005,0.991,-1.637,1.637,1,8810
"z[604,4]",0.02,0.971,-1.58,1.583,1,8743
"z[605,4]",-0.117,0.959,-1.673,1.456,1,8833
"z[606,4]",0.042,0.999,-1.589,1.676,1,8785
"z[607,4]",0.306,0.989,-1.369,1.925,1,8616
"z[608,4]",0.092,0.979,-1.513,1.716,1,9001
"z[609,4]",-0.038,1.011,-1.728,1.599,1,8416
"z[610,4]",0.039,0.995,-1.577,1.71,1,7893
"z[611,4]",0.002,0.992,-1.624,1.622,1,8579
"z[612,4]",0.253,1.001,-1.368,1.922,1,8471
"z[613,4]",-0.373,1.001,-1.998,1.295,1,7701
"z[614,4]",0.011,0.968,-1.572,1.589,1,8846
"z[615,4]",-0.022,0.992,-1.647,1.618,1,8059
"z[616,4]",0.049,0.988,-1.566,1.694,1,7970
"z[617,4]",-0.098,0.998,-1.749,1.548,1,8696
"z[618,4]",-0.016,0.958,-1.583,1.542,1,9130
"z[619,4]",-0.013,0.99,-1.662,1.6,1,8621
"z[620,4]",-0.038,0.988,-1.665,1.598,1,9094
"z[621,4]",0.088,0.982,-1.53,1.683,1.001,8728
"z[622,4]",0.016,0.999,-1.604,1.644,1,8124
"z[623,4]",0.126,0.992,-1.494,1.781,1.001,9011
"z[624,4]",-0.028,0.976,-1.669,1.571,1,8295
"z[625,4]",0.175,1.007,-1.443,1.83,1.001,8475
"z[626,4]",-0.206,0.978,-1.815,1.429,1,8932
"z[627,4]",0.257,0.978,-1.364,1.847,1,8313
"z[628,4]",0.114,0.992,-1.51,1.734,1,8644
"z[629,4]",0.049,1.003,-1.596,1.695,1,8504
"z[630,4]",0.015,1.011,-1.652,1.706,1,8877
"z[631,4]",0.037,1.006,-1.657,1.688,1,9099
"z[632,4]",-0.081,0.995,-1.73,1.541,1,9116
"z[633,4]",0.348,0.981,-1.273,1.958,1,8041
"z[634,4]",-0.003,0.985,-1.622,1.624,1,9379
"z[635,4]",0.134,0.965,-1.441,1.713,1.001,8322
"z[636,4]",0.296,0.993,-1.332,1.909,1,8651
"z[637,4]",-0.122,0.998,-1.751,1.525,1,9270
"z[638,4]",-0.018,0.96,-1.581,1.584,1,8510
"z[639,4]",0.082,0.99,-1.536,1.73,1,9127
"z[640,4]",0.038,0.975,-1.553,1.629,1,8804
"z[641,4]",-0.499,1.026,-2.167,1.207,1,7718
"z[642,4]",-0.132,0.99,-1.739,1.484,1,9443
"z[643,4]",0.223,1.009,-1.44,1.865,1.001,7959
"z[644,4]",-0.014,1.012,-1.666,1.677,1.001,8610
"z[645,4]",0.159,1.001,-1.497,1.791,1,8997
"z[646,4]",0.246,0.999,-1.38,1.862,1,8808
"z[647,4]",0.006,1.008,-1.662,1.647,1.001,8340
"z[648,4]",-0.007,0.966,-1.609,1.585,1,9436
"z[649,4]",-0.124,0.963,-1.691,1.459,1,8559
"z[650,4]",0.016,0.989,-1.569,1.662,1,8636
"z[651,4]",-0.209,0.998,-1.835,1.455,1,8051
"z[652,4]",-0.072,0.955,-1.643,1.518,1,8549
"z[653,4]",-0.043,0.996,-1.693,1.63,1,8569
"z[654,4]",0.006,0.967,-1.564,1.632,1,8993
"z[655,4]",0.056,0.975,-1.546,1.669,1.001,7677
"z[656,4]",-0.168,0.984,-1.78,1.473,1,8440
"z[657,4]",0.147,0.997,-1.501,1.764,1,8828
"z[658,4]",0.15,0.998,-1.494,1.794,1,8036
"z[659,4]",0.095,0.997,-1.535,1.71,1,9397
"z[660,4]",-0.045,0.995,-1.646,1.606,1,8632
"z[661,4]",-0.098,0.991,-1.744,1.515,1.001,8522
"z[662,4]",0.028,0.99,-1.604,1.626,1,8805
"z[663,4]",-0.018,0.999,-1.647,1.644,1,8484
"mu_y[1,1]",-0.605,0.155,-0.857,-0.347,1.001,8701
"mu_y[2,1]",-0.592,0.152,-0.841,-0.341,1,8691
"mu_y[3,1]",-0.578,0.153,-0.831,-0.325,1,8645
"mu_y[4,1]",-0.546,0.17,-0.829,-0.266,1.001,8484
"mu_y[5,1]",-0.527,0.19,-0.838,-0.211,1.001,8376
"mu_y[6,1]",-0.774,0.158,-1.029,-0.51,1,8522
"mu_y[7,1]",-0.774,0.153,-1.024,-0.522,1,8572
"mu_y[8,1]",-0.774,0.152,-1.023,-0.522,1,8338
"mu_y[9,1]",-0.774,0.168,-1.051,-0.497,1,7570
"mu_y[10,1]",-0.774,0.189,-1.09,-0.469,1,7151
"mu_y[11,1]",-0.767,0.174,-1.056,-0.481,1,8206
"mu_y[12,1]",-0.761,0.185,-1.071,-0.457,1,8502
"mu_y[13,1]",-0.759,0.207,-1.1,-0.422,1,8431
"mu_y[14,1]",-0.619,0.171,-0.902,-0.342,1,6837
"mu_y[15,1]",-0.547,0.164,-0.816,-0.275,1,8126
"mu_y[16,1]",-0.474,0.181,-0.765,-0.175,1.001,7812
"mu_y[17,1]",-0.41,0.211,-0.74,-0.052,1.001,6666
"mu_y[18,1]",-1.044,0.157,-1.3,-0.786,1.001,8232
