parameter,mean,sd,q05,q95,rhat,ess
"z[135,1]",-0.952,0.756,-2.183,0.296,1,5311
"z[136,1]",0.817,0.733,-0.398,2.024,1,8865
"z[137,1]",-0.849,0.723,-2.015,0.34,1,8755
"z[138,1]",-0.759,0.676,-1.864,0.346,1,8628
"z[139,1]",-0.409,0.691,-1.542,0.749,1,7617
"z[140,1]",0.563,0.741,-0.679,1.778,1.001,8593
"z[141,1]",0.34,0.743,-0.88,1.549,1,9544
"z[142,1]",-0.559,0.665,-1.649,0.551,1,6635
"z[143,1]",0.032,0.794,-1.266,1.329,1.001,8668
"z[144,1]",0.515,0.73,-0.667,1.727,1,9229
"z[145,1]",0.015,0.763,-1.244,1.293,1.001,3715
"z[146,1]",-0.911,0.724,-2.107,0.289,1,9173
"z[147,1]",-0.876,0.793,-2.171,0.464,1,8737
"z[148,1]",-0.492,0.657,-1.58,0.573,1.001,7279
"z[149,1]",-1.082,0.728,-2.281,0.103,1.001,8891
"z[150,1]",-0.248,0.69,-1.388,0.88,1,8521
"z[151,1]",-0.726,0.66,-1.833,0.336,1,7874
"z[152,1]",0.737,0.711,-0.442,1.895,1.001,4584
"z[153,1]",-0.016,0.691,-1.139,1.128,1,7245
"z[154,1]",0.793,0.642,-0.245,1.843,1,7921
"z[155,1]",0.096,0.672,-1.006,1.205,1.001,5120
"z[156,1]",-0.824,0.685,-1.957,0.299,1,8814
"z[157,1]",0.204,0.727,-0.969,1.412,1,8354
"z[158,1]",0.279,0.729,-0.906,1.481,1.001,9120
"z[159,1]",0.092,0.731,-1.102,1.286,1.001,8879
"z[160,1]",0.579,0.67,-0.507,1.698,1,8946
"z[161,1]",0.406,0.785,-0.903,1.683,1,8735
"z[162,1]",-0.238,0.696,-1.368,0.911,1,7950
"z[163,1]",-0.256,0.65,-1.334,0.792,1,8822
"z[164,1]",-0.15,0.741,-1.369,1.087,1,7656
"z[165,1]",0.507,0.721,-0.684,1.683,1,5432
"z[166,1]",-0.6,0.685,-1.747,0.521,1.001,5258
"z[167,1]",-0.185,0.774,-1.462,1.076,1,8679
"z[168,1]",0.881,0.738,-0.329,2.089,1,8328
"z[169,1]",0.266,0.782,-1.021,1.538,1,8943
"z[170,1]",1.333,0.727,0.146,2.516,1,9573
"z[171,1]",-0.452,0.675,-1.561,0.658,1.001,9042
"z[172,1]",-0.717,0.727,-1.897,0.478,1,8806
"z[173,1]",-0.326,0.741,-1.542,0.903,1,8097
"z[174,1]",0.199,0.795,-1.115,1.488,1.001,9310
