parameter,mean,sd,q05,q95,rhat,ess
"z[625,3]",1.117,0.399,0.464,1.759,1,5899
"z[626,3]",-0.641,0.391,-1.26,0.008,1.001,3373
"z[627,3]",1.617,0.376,1.002,2.23,1.001,4441
"z[628,3]",3.202,0.412,2.523,3.845,1.001,3835
"z[629,3]",-0.88,0.403,-1.51,-0.207,1.001,5216
"z[630,3]",0.661,0.436,-0.053,1.358,1.001,5872
"z[631,3]",0.908,0.445,0.181,1.62,1,4918
"z[632,3]",0.935,0.397,0.269,1.572,1,5656
"z[633,3]",0.295,0.387,-0.343,0.928,1,5846
"z[634,3]",-1.249,0.369,-1.807,-0.619,1.001,4222
"z[635,3]",0.302,0.405,-0.413,0.91,1.001,2903
"z[636,3]",-1.368,0.357,-1.932,-0.755,1,4714
"z[637,3]",-0.429,0.39,-1.098,0.158,1,3965
"z[638,3]",0.169,0.355,-0.402,0.761,1,4453
"z[639,3]",-1.041,0.381,-1.62,-0.39,1,3757
"z[640,3]",0.764,0.396,0.109,1.383,1.001,3551
"z[641,3]",0.491,0.372,-0.13,1.083,1,4185
"z[642,3]",-0.455,0.383,-1.06,0.174,1,5732
"z[643,3]",0.902,0.375,0.29,1.511,1,4108
"z[644,3]",0.488,0.441,-0.247,1.194,1,4573
"z[645,3]",-1.931,0.366,-2.515,-1.336,1,5478
"z[646,3]",0.764,0.391,0.094,1.37,1,4099
"z[647,3]",1.058,0.407,0.388,1.702,1,5301
"z[648,3]",-1.024,0.354,-1.606,-0.462,1,4863
"z[649,3]",0.371,0.387,-0.226,1.043,1.001,2256
"z[650,3]",0.369,0.451,-0.346,1.13,1,6399
"z[651,3]",-0.178,0.392,-0.823,0.465,1.001,5483
"z[652,3]",0.262,0.346,-0.289,0.839,1.001,4443
"z[653,3]",-0.434,0.419,-1.115,0.237,1.002,3325
"z[654,3]",3.283,0.439,2.556,3.963,1.001,3247
"z[655,3]",0.055,0.442,-0.651,0.804,1.001,3115
"z[656,3]",0.206,0.414,-0.479,0.869,1.001,4089
"z[657,3]",0.821,0.397,0.159,1.45,1,4805
"z[658,3]",1.034,0.356,0.435,1.592,1.001,6142
"z[659,3]",0.66,0.387,-0.007,1.251,1,4401
"z[660,3]",-0.8,0.394,-1.44,-0.146,1.001,4759
"z[661,3]",1.968,0.414,1.258,2.607,1.001,3050
"z[662,3]",0.124,0.355,-0.441,0.686,1,5372
"z[663,3]",0.093,0.382,-0.529,0.711,1.001,5019
"z[1,4]",-0.293,0.774,-1.542,1.012,1.006,1958
"z[2,4]",0.455,0.753,-0.789,1.676,1.001,5598
"z[3,4]",0.791,0.814,-0.551,2.111,1.001,5417
"z[4,4]",-0.126,0.864,-1.489,1.322,1.012,813
"z[5,4]",0.265,0.913,-1.272,1.721,1.016,682
"z[6,4]",0.005,0.741,-1.217,1.231,1.002,7792
"z[7,4]",0.216,0.932,-1.345,1.713,1.004,2589
"z[8,4]",-0.062,0.946,-1.608,1.497,1.001,7524
"z[9,4]",-1.619,0.858,-2.953,-0.137,1.001,2753
"z[10,4]",-0.117,0.896,-1.596,1.334,1.018,540
"z[11,4]",0.429,0.861,-1.04,1.788,1.013,979
"z[12,4]",1.117,0.802,-0.246,2.375,1.005,2007
"z[13,4]",-0.488,0.866,-1.918,0.945,1,8009
"z[14,4]",-0.442,0.821,-1.786,0.923,1.001,6975
"z[15,4]",0.651,0.804,-0.649,1.976,1,7185
"z[16,4]",0.254,0.798,-1.041,1.567,1.002,5904
"z[17,4]",-0.139,0.922,-1.641,1.379,1.001,6375
"z[18,4]",0.877,0.897,-0.622,2.336,1.001,5004
"z[19,4]",-1.211,1.051,-2.9,0.574,1.01,996
"z[20,4]",-0.106,0.91,-1.609,1.372,1.003,3606
"z[21,4]",0.174,0.944,-1.403,1.698,1.001,5869
"z[22,4]",-0.097,0.916,-1.558,1.441,1.002,5672
"z[23,4]",-0.37,0.825,-1.728,0.982,1,7234
"z[24,4]",-0.09,0.757,-1.314,1.194,1.004,2396
"z[25,4]",-0.102,0.886,-1.523,1.383,1.006,1525
"z[26,4]",-0.393,0.786,-1.695,0.89,1.001,7734
"z[27,4]",0.287,0.776,-0.994,1.567,1,7540
"z[28,4]",-0.601,0.828,-1.958,0.763,1.001,5846
"z[29,4]",0.01,0.892,-1.462,1.457,1,7832
"z[30,4]",0.486,0.809,-0.821,1.806,1.006,1575
"z[31,4]",0.209,0.771,-1.111,1.437,1.007,2164
"z[32,4]",0.474,0.89,-1.01,1.905,1,5264
"z[33,4]",-0.075,0.818,-1.424,1.28,1,8253
"z[34,4]",0.466,1.026,-1.276,2.105,1.008,1215
"z[35,4]",-0.733,0.814,-1.998,0.665,1.01,1208
"z[36,4]",-0.591,0.969,-2.141,1.093,1.008,1327
"z[37,4]",-0.589,0.846,-1.908,0.866,1.012,859
"z[38,4]",-0.145,0.792,-1.427,1.165,1.001,8072
"z[39,4]",0.073,0.804,-1.252,1.393,1.001,7200
"z[40,4]",-0.106,0.777,-1.361,1.195,1.005,2500
"z[41,4]",-0.094,0.757,-1.352,1.148,1.001,7656
"z[42,4]",0.464,0.785,-0.837,1.738,1.007,1969
"z[43,4]",-1.044,0.784,-2.31,0.271,1.001,4625
"z[44,4]",0.29,0.914,-1.273,1.76,1.003,3380
"z[45,4]",-0.077,0.919,-1.611,1.415,1,8112
"z[46,4]",0.983,0.783,-0.354,2.19,1.007,1788
"z[47,4]",-1.034,0.903,-2.49,0.468,1.002,4078
"z[48,4]",0.476,0.824,-0.863,1.849,1.002,4209
"z[49,4]",-0.33,0.74,-1.527,0.918,1.001,7716
"z[50,4]",-0.124,0.773,-1.375,1.189,1.007,1594
"z[51,4]",0.531,0.747,-0.702,1.754,1.001,7641
"z[52,4]",-0.767,0.806,-2.084,0.603,1.001,4885
"z[53,4]",-0.093,0.725,-1.275,1.098,1,7943
"z[54,4]",0.497,0.834,-0.921,1.826,1.003,2709
"z[55,4]",-0.574,0.828,-1.934,0.798,1.008,1502
"z[56,4]",-0.012,0.793,-1.325,1.295,1.008,1400
"z[57,4]",-1.252,0.847,-2.547,0.249,1.012,978
"z[58,4]",-0.35,0.723,-1.528,0.835,1.002,6801
"z[59,4]",-0.292,0.763,-1.56,0.95,1.002,3581
"z[60,4]",0.261,0.763,-0.982,1.52,1.005,2224
"z[61,4]",-0.215,0.743,-1.426,1.031,1.002,5981
"z[62,4]",0.547,0.796,-0.777,1.818,1.003,2644
"z[63,4]",0.066,0.811,-1.243,1.434,1.008,1295
"z[64,4]",-0.166,0.728,-1.363,1.048,1.001,7509
"z[65,4]",-0.026,0.75,-1.235,1.218,1.003,3843
"z[66,4]",0.119,0.757,-1.143,1.334,1.004,2369
"z[67,4]",-0.414,0.887,-1.874,1.042,1.001,7171
"z[68,4]",-1.416,0.882,-2.838,0.05,1.002,3449
"z[69,4]",0.212,0.754,-1.038,1.435,1.002,4513
"z[70,4]",-1.046,0.788,-2.292,0.306,1.005,2040
"z[71,4]",0.148,0.741,-1.042,1.392,1.003,4100
"z[72,4]",0.06,0.835,-1.342,1.425,1.001,5972
"z[73,4]",0.164,0.755,-1.096,1.369,1.001,7356
"z[74,4]",-0.328,0.744,-1.515,0.908,1,6818
"z[75,4]",0.121,0.784,-1.184,1.4,1.003,3636
"z[76,4]",-0.023,0.901,-1.462,1.499,1.007,1446
"z[77,4]",0.231,0.916,-1.251,1.744,1.001,5819
"z[78,4]",-0.388,0.854,-1.778,1.037,1.004,2394
"z[79,4]",0.101,0.81,-1.26,1.42,1.001,7761
"z[80,4]",0.42,0.745,-0.824,1.658,1.001,7721
"z[81,4]",-0.434,0.808,-1.728,0.929,1.004,2200
"z[82,4]",-0.552,0.749,-1.773,0.684,1.002,4031
"z[83,4]",-0.237,0.788,-1.523,1.045,1.001,5913
"z[84,4]",0.076,0.719,-1.114,1.235,1.001,7851
"z[85,4]",-0.309,0.769,-1.548,0.961,1.006,1973
"z[86,4]",-0.006,0.845,-1.372,1.423,1.003,3259
"z[87,4]",-0.42,0.788,-1.702,0.886,1.001,6411
"z[88,4]",-0.427,0.77,-1.654,0.878,1.003,2977
"z[89,4]",0.014,0.791,-1.28,1.325,1.006,1768
"z[90,4]",-0.91,0.835,-2.246,0.491,1.003,3194
"z[91,4]",-0.138,0.895,-1.622,1.334,1.001,8210
"z[92,4]",-0.263,0.771,-1.509,1.031,1.003,3136
"z[93,4]",0.188,0.724,-1.006,1.338,1.001,7188
"z[94,4]",-0.26,0.794,-1.529,1.079,1.003,2528
"z[95,4]",-0.004,0.904,-1.554,1.43,1.014,725
"z[96,4]",0.639,0.841,-0.765,2.021,1.001,6358
"z[97,4]",0.673,0.829,-0.724,2.006,1.006,1881
"z[98,4]",0.343,0.971,-1.318,1.871,1.018,562
"z[99,4]",0.536,0.775,-0.747,1.792,1.003,3731
"z[100,4]",-0.837,0.804,-2.164,0.491,1.005,1728
"z[101,4]",-1.265,0.832,-2.551,0.188,1.01,1308
"z[102,4]",-0.089,0.73,-1.26,1.12,1.001,3947
"z[103,4]",-0.21,0.717,-1.393,0.961,1.001,8356
"z[104,4]",0.088,0.806,-1.228,1.411,1,7828
"z[105,4]",-0.042,0.729,-1.261,1.142,1.001,7225
"z[106,4]",0.388,0.751,-0.858,1.626,1.003,3460
"z[107,4]",0.711,0.77,-0.59,1.938,1.003,2703
"z[108,4]",-0.496,0.777,-1.763,0.78,1.001,7248
"z[109,4]",-0.163,0.779,-1.439,1.113,1.002,4012
"z[110,4]",0.634,0.789,-0.692,1.883,1.007,2057
"z[111,4]",0.492,0.817,-0.876,1.806,1.001,6548
"z[112,4]",-0.32,0.991,-1.903,1.353,1.018,559
"z[113,4]",0.234,0.94,-1.354,1.757,1.004,2990
"z[114,4]",0.111,0.913,-1.402,1.625,1.001,5397
"z[115,4]",-0.464,0.963,-2.009,1.139,1.006,2135
"z[116,4]",-0.016,0.931,-1.498,1.52,1.004,3293
"z[117,4]",-0.276,0.897,-1.715,1.195,1.002,3911
"z[118,4]",-0.354,0.94,-1.882,1.187,1.002,4042
"z[119,4]",0.11,0.734,-1.112,1.321,1.001,8074
"z[120,4]",0.163,0.702,-0.994,1.336,1,7621
"z[121,4]",-0.01,0.767,-1.302,1.222,1.004,2902
"z[122,4]",0.008,0.927,-1.506,1.571,1.003,2767
"z[123,4]",0.627,0.769,-0.663,1.883,1.001,5292
"z[124,4]",0.431,0.921,-1.072,1.952,1.007,1394
"z[125,4]",-0.115,0.917,-1.623,1.411,1,8061
"z[126,4]",-1.105,0.92,-2.585,0.455,1.014,578
"z[127,4]",0.497,0.9,-0.981,1.978,1.001,7123
"z[128,4]",0.053,0.822,-1.272,1.407,1,6773
"z[129,4]",-0.041,0.897,-1.489,1.47,1.001,7467
"z[130,4]",-0.668,0.756,-1.902,0.588,1.001,7043
"z[131,4]",0.007,0.806,-1.306,1.324,1.009,1133
"z[132,4]",0.32,0.752,-0.918,1.528,1.001,5898
"z[133,4]",-1.062,0.896,-2.513,0.442,1.009,1197
"z[134,4]",0.548,0.76,-0.69,1.789,1,6610
"z[135,4]",-0.479,0.843,-1.845,0.915,1.007,1437
"z[136,4]",0.26,0.776,-1.016,1.52,1,8412
"z[137,4]",0.132,0.87,-1.271,1.588,1.005,3607
"z[138,4]",-0.02,0.819,-1.364,1.317,1.001,7015
"z[139,4]",-0.738,0.78,-2.007,0.537,1,5714
"z[140,4]",0.315,0.785,-0.969,1.593,1,7877
"z[141,4]",0.808,0.989,-0.865,2.357,1.007,1293
"z[142,4]",0.89,0.836,-0.5,2.232,1.001,3844
"z[143,4]",0.2,0.947,-1.384,1.719,1.005,2443
"z[144,4]",0.108,0.912,-1.435,1.574,1.004,3058
"z[145,4]",2.122,0.977,0.414,3.608,1.005,1443
"z[146,4]",0.141,0.878,-1.316,1.578,1,8250
"z[147,4]",-0.28,0.987,-1.846,1.408,1.008,2118
"z[148,4]",-0.653,0.752,-1.86,0.615,1.002,3958
"z[149,4]",-0.856,0.965,-2.345,0.847,1.015,756
"z[150,4]",-0.597,0.791,-1.865,0.729,1.004,2545
"z[151,4]",-0.548,0.746,-1.732,0.674,1,5888
"z[152,4]",0.349,0.819,-1.04,1.671,1.003,2440
"z[153,4]",-0.013,0.816,-1.374,1.294,1,8020
"z[154,4]",-0.303,0.762,-1.487,0.97,1.005,2080
"z[155,4]",0.841,0.773,-0.429,2.093,1.002,3922
"z[156,4]",-0.003,0.799,-1.327,1.304,1.002,4425
"z[157,4]",0.932,1.125,-1.008,2.673,1.016,654
"z[158,4]",0.011,0.835,-1.317,1.381,1,6988
"z[159,4]",0.359,0.91,-1.14,1.832,1.001,7383
"z[160,4]",0.279,0.773,-0.977,1.569,1,8018
"z[161,4]",0.53,1.014,-1.188,2.137,1.008,1303
"z[162,4]",0.238,0.838,-1.169,1.622,1.001,8032
"z[163,4]",0.55,0.905,-1.072,1.933,1.018,554
"z[164,4]",0.725,0.845,-0.629,2.131,1.001,5619
"z[165,4]",0.414,0.781,-0.868,1.692,1,7560
"z[166,4]",-1.736,0.993,-3.191,0.07,1.017,707
"z[167,4]",-0.204,0.932,-1.719,1.329,1.001,5255
"z[168,4]",-0.15,0.899,-1.605,1.367,1,7495
"z[169,4]",0.189,0.93,-1.339,1.692,1.001,5163
"z[170,4]",0.396,0.99,-1.27,1.961,1.008,1369
"z[171,4]",-0.191,0.846,-1.604,1.178,1.001,5714
"z[172,4]",1.181,1.422,-1.391,3.344,1.032,159
"z[173,4]",0.557,0.874,-0.915,1.973,1.002,3290
"z[174,4]",0.154,0.921,-1.389,1.66,1.001,5280
"z[175,4]",-0.222,0.758,-1.459,1.023,1.001,7472
"z[176,4]",-0.288,0.745,-1.484,0.949,1.002,7964
"z[177,4]",0.327,0.816,-0.992,1.682,1.009,1235
"z[178,4]",0.6,0.767,-0.673,1.863,1,6698
"z[179,4]",0.602,0.734,-0.612,1.806,1,7565
"z[180,4]",0.3,0.942,-1.295,1.837,1.003,3059
"z[181,4]",0.383,0.86,-1.04,1.768,1.004,2520
"z[182,4]",1.306,1.186,-0.871,3.087,1.03,198
"z[183,4]",0.594,0.771,-0.675,1.84,1.001,4953
"z[184,4]",0.394,1.066,-1.433,2.107,1.028,223
"z[185,4]",-0.149,0.757,-1.377,1.104,1.001,6720
"z[186,4]",-0.626,0.785,-1.902,0.667,1.002,4496
"z[187,4]",-0.193,0.74,-1.396,1.051,1.001,6206
"z[188,4]",0.521,0.789,-0.807,1.801,1.001,5220
"z[189,4]",-0.451,0.821,-1.798,0.901,1.001,6617
"z[190,4]",0.297,0.916,-1.167,1.813,1.012,902
"z[191,4]",-0.142,0.95,-1.705,1.42,1.001,6603
"z[192,4]",0.001,0.917,-1.508,1.508,1.001,7528
"z[193,4]",-0.353,0.847,-1.698,1.111,1.007,1511
"z[194,4]",-0.016,0.895,-1.503,1.44,1.001,6202
"z[195,4]",0.219,0.826,-1.126,1.587,1,7825
"z[196,4]",0.296,0.83,-1.092,1.671,1.002,4634
"z[197,4]",-0.011,0.792,-1.314,1.31,1.002,6287
"z[198,4]",-0.566,0.788,-1.87,0.729,1.002,1934
"z[199,4]",0.121,0.766,-1.127,1.397,1.001,5643
"z[200,4]",0.381,0.926,-1.144,1.912,1,8079
"z[201,4]",-0.776,0.856,-2.18,0.645,1.001,5473
"z[202,4]",-0.507,0.728,-1.683,0.697,1,8072
"z[203,4]",-0.191,0.75,-1.404,1.046,1.002,7106
"z[204,4]",0.426,0.893,-1.065,1.887,1,8035
"z[205,4]",-0.095,0.943,-1.645,1.48,1,7883
"z[206,4]",0.395,0.854,-0.986,1.785,1,8530
"z[207,4]",0.02,0.844,-1.376,1.406,1.001,8025
"z[208,4]",-1.457,0.857,-2.844,-0.033,1,7248
"z[209,4]",0.838,0.869,-0.59,2.243,1.003,2527
"z[210,4]",-0.367,0.854,-1.783,1.01,1.001,6908
"z[211,4]",-0.544,0.894,-2.012,0.952,1.002,3159
"z[212,4]",-0.373,0.772,-1.64,0.896,1,8391
"z[213,4]",0.266,0.931,-1.268,1.799,1,8584
"z[214,4]",0.393,0.905,-1.114,1.881,1,8129
"z[215,4]",0.064,0.903,-1.424,1.56,1,7662
"z[216,4]",-0.353,0.74,-1.588,0.843,1,8265
"z[217,4]",0.26,0.88,-1.21,1.682,1.002,3004
"z[218,4]",-0.813,0.87,-2.251,0.606,1.001,6325
"z[219,4]",0.11,0.834,-1.267,1.486,1,8542
"z[220,4]",0.573,0.846,-0.805,1.965,1,8353
"z[221,4]",-0.082,0.941,-1.617,1.473,1,6772
"z[222,4]",-0.452,0.836,-1.828,0.912,1,7963
"z[223,4]",-0.387,0.81,-1.711,0.925,1,6536
"z[224,4]",0.145,0.957,-1.408,1.732,1,7405
"z[225,4]",1.319,0.774,0.017,2.558,1,4806
"z[226,4]",-0.131,0.83,-1.513,1.22,1.001,8387
"z[227,4]",0.065,0.81,-1.277,1.385,1,7384
"z[228,4]",0.483,0.904,-1.013,1.938,1.001,5407
"z[229,4]",-0.156,0.901,-1.635,1.348,1,6787
"z[230,4]",-0.062,0.927,-1.584,1.48,1.002,3897
"z[231,4]",0.84,0.747,-0.397,2.036,1.001,7484
"z[232,4]",-0.183,0.744,-1.369,1.056,1,6440
"z[233,4]",-0.991,0.771,-2.232,0.303,1.001,6021
"z[234,4]",-0.122,0.759,-1.381,1.11,1.002,5519
"z[235,4]",-0.48,0.845,-1.837,0.947,1,6998
"z[236,4]",0.033,0.937,-1.543,1.553,1,8487
"z[237,4]",0.475,0.891,-1.024,1.922,1.003,2710
"z[238,4]",-0.543,0.9,-2.005,0.939,1.002,5210
"z[239,4]",-0.199,0.85,-1.605,1.215,1.003,6263
"z[240,4]",0.266,0.886,-1.198,1.707,1,8604
"z[241,4]",-0.884,0.905,-2.331,0.624,1.001,5424
"z[242,4]",0.098,0.965,-1.494,1.699,1,7534
"z[243,4]",-0.254,0.927,-1.772,1.269,1,6899
"z[244,4]",-0.107,0.853,-1.498,1.313,1,8306
"z[245,4]",-0.015,0.935,-1.557,1.512,1.001,7241
"z[246,4]",0.417,0.868,-1.004,1.851,1.001,7174
"z[247,4]",0.362,0.836,-1.015,1.749,1,8225
"z[248,4]",-0.46,0.957,-2.051,1.098,1.007,1567
"z[249,4]",0.093,0.745,-1.128,1.311,1,8192
"z[250,4]",0.019,0.933,-1.523,1.56,1,8086
"z[251,4]",-0.15,0.917,-1.644,1.37,1,7828
"z[252,4]",0.284,0.909,-1.216,1.77,1.001,5268
"z[253,4]",-0.441,0.899,-1.916,1.043,1,8111
"z[254,4]",0.443,0.859,-0.978,1.814,1.001,6118
"z[255,4]",-0.659,0.802,-1.946,0.693,1.001,8281
"z[256,4]",-0.595,0.891,-2.067,0.861,1.001,6530
"z[257,4]",-0.909,0.954,-2.446,0.651,1.001,3195
"z[258,4]",0.208,0.947,-1.342,1.764,1.001,7528
"z[259,4]",0.216,0.935,-1.302,1.76,1,8141
"z[260,4]",0.244,0.898,-1.248,1.745,1,8380
"z[261,4]",-0.422,0.936,-1.946,1.113,1.001,7689
"z[262,4]",0.063,0.85,-1.345,1.476,1,7697
"z[263,4]",-1.942,0.827,-3.276,-0.569,1.001,5754
"z[264,4]",0.479,0.761,-0.791,1.724,1,7915
"z[265,4]",0.178,0.858,-1.221,1.592,1,8418
"z[266,4]",0.061,0.793,-1.267,1.347,1,8047
"z[267,4]",-0.105,0.747,-1.327,1.13,1,7808
"z[268,4]",-0.314,0.994,-1.941,1.321,1.001,5923
"z[269,4]",0.721,0.936,-0.825,2.277,1.003,4552
"z[270,4]",0.036,0.997,-1.589,1.686,1.003,2673
"z[271,4]",0.018,0.975,-1.587,1.63,1.001,7796
"z[272,4]",0.975,0.883,-0.48,2.423,1.001,6487
"z[273,4]",0.018,0.87,-1.401,1.459,1.001,4307
"z[274,4]",0.064,0.909,-1.456,1.552,1.001,5645
"z[275,4]",-0.264,0.947,-1.816,1.265,1.001,7580
"z[276,4]",0.718,0.854,-0.695,2.092,1,6194
"z[277,4]",0.325,0.953,-1.244,1.908,1.005,1433
"z[278,4]",0.181,0.844,-1.164,1.599,1.008,1037
"z[279,4]",-0.035,0.835,-1.41,1.341,1,7002
"z[280,4]",0.032,0.93,-1.509,1.545,1,7827
"z[281,4]",0.017,0.807,-1.315,1.329,1.001,5579
"z[282,4]",0.193,0.93,-1.311,1.732,1,8417
"z[283,4]",-1.181,0.777,-2.443,0.122,1.002,4376
"z[284,4]",1.248,0.805,-0.073,2.521,1,6074
"z[285,4]",0.17,0.8,-1.125,1.495,1.003,1922
"z[286,4]",0.728,0.748,-0.511,1.957,1,7463
"z[287,4]",-0.417,0.884,-1.876,1.062,1.001,8260
"z[288,4]",0.427,0.905,-1.068,1.899,1.001,7884
"z[289,4]",-0.039,0.839,-1.425,1.334,1.001,8080
"z[290,4]",-0.179,0.784,-1.489,1.1,1,7593
"z[291,4]",-0.172,0.996,-1.827,1.484,1.002,3931
"z[292,4]",0.324,0.893,-1.156,1.793,1,8005
"z[293,4]",-0.121,0.856,-1.526,1.265,1.001,6034
"z[294,4]",-0.312,0.967,-1.91,1.261,1.002,4567
"z[295,4]",-0.464,0.798,-1.79,0.847,1,6684
"z[296,4]",0.018,0.868,-1.44,1.441,1.001,7863
"z[297,4]",0.348,0.76,-0.918,1.606,1.001,8052
"z[298,4]",-0.409,0.805,-1.757,0.901,1.003,2308
"z[299,4]",0.293,0.75,-0.928,1.544,1.001,6953
"z[300,4]",0.091,0.942,-1.46,1.639,1.001,8535
"z[301,4]",-0.296,0.979,-1.892,1.32,1,6219
"z[302,4]",0.035,0.955,-1.53,1.595,1,8251
"z[303,4]",0.393,0.827,-0.964,1.764,1,8280
"z[304,4]",0.271,0.802,-1.036,1.586,1,6180
"z[305,4]",0.188,0.757,-1.058,1.418,1,6869
"z[306,4]",-0.414,0.856,-1.817,0.988,1,7683
"z[307,4]",0.33,0.937,-1.181,1.842,1,8097
"z[308,4]",-0.679,0.84,-2.04,0.721,1.001,7987
"z[309,4]",-0.714,0.757,-1.929,0.539,1,7221
"z[310,4]",-0.215,0.776,-1.488,1.076,1.002,5516
"z[311,4]",-0.404,0.759,-1.631,0.872,1,6466
"z[312,4]",0.574,0.844,-0.809,1.953,1,7897
"z[313,4]",-0.022,0.87,-1.467,1.411,1,7477
"z[314,4]",-0.459,0.89,-1.906,1.012,1.002,4813
"z[315,4]",-0.985,0.986,-2.58,0.656,1.006,1610
"z[316,4]",-0.046,0.93,-1.56,1.488,1.001,7932
"z[317,4]",0.299,0.896,-1.18,1.771,1,8247
"z[318,4]",-0.064,0.962,-1.656,1.542,1,8085
"z[319,4]",0.012,0.86,-1.405,1.427,1.001,6859
"z[320,4]",0.209,0.945,-1.362,1.776,1,8434
"z[321,4]",-0.162,0.816,-1.5,1.165,1,6652
"z[322,4]",0.095,0.942,-1.45,1.675,1,6898
"z[323,4]",0.013,0.832,-1.377,1.359,1.001,7761
"z[324,4]",-1.304,0.953,-2.862,0.252,1,7210
"z[325,4]",0.107,0.835,-1.249,1.515,1,8010
"z[326,4]",0.117,0.869,-1.324,1.549,1.001,5696
"z[327,4]",-0.646,0.769,-1.892,0.608,1,7882
"z[328,4]",-0.209,0.779,-1.487,1.094,1.002,3086
"z[329,4]",0.455,0.818,-0.899,1.797,1,8112
"z[330,4]",0.638,0.817,-0.723,1.949,1.002,2484
"z[331,4]",-0.312,0.844,-1.697,1.082,1,7323
"z[332,4]",0.008,0.908,-1.45,1.505,1,7608
"z[333,4]",-1.088,0.84,-2.473,0.299,1.003,2796
"z[334,4]",0.014,0.946,-1.542,1.574,1,7977
"z[335,4]",0.144,0.852,-1.22,1.538,1,6273
"z[336,4]",0.026,0.942,-1.51,1.58,1,8549
"z[337,4]",0.173,0.85,-1.23,1.559,1.001,5254
"z[338,4]",0.251,0.749,-0.985,1.495,1,6849
"z[339,4]",-1.107,0.769,-2.378,0.155,1,7470
"z[340,4]",0.671,0.749,-0.577,1.884,1,7885
"z[341,4]",0.341,0.777,-0.927,1.612,1.001,4916
"z[342,4]",0.422,0.78,-0.879,1.679,1.001,3745
"z[343,4]",0.342,0.848,-1.056,1.698,1.001,7893
"z[344,4]",0.207,0.842,-1.173,1.602,1,8415
"z[345,4]",0.153,0.804,-1.148,1.489,1.001,7143
"z[346,4]",0.438,0.745,-0.803,1.631,1.001,5902
"z[347,4]",0.305,0.967,-1.282,1.903,1,8311
"z[348,4]",-0.006,0.827,-1.373,1.365,1,8207
"z[349,4]",0.224,0.893,-1.242,1.666,1,8352
"z[350,4]",-0.118,0.761,-1.375,1.131,1,7886
"z[351,4]",0.601,0.88,-0.844,2.045,1.001,5614
"z[352,4]",-0.18,0.846,-1.567,1.199,1.004,2044
"z[353,4]",-0.227,0.8,-1.544,1.086,1,8188
"z[354,4]",-0.087,0.851,-1.493,1.305,1.001,7759
"z[355,4]",-0.725,0.757,-1.953,0.536,1.001,7685
"z[356,4]",-0.151,0.835,-1.541,1.221,1,8467
"z[357,4]",0.129,0.769,-1.125,1.376,1.001,4729
"z[358,4]",-0.119,0.987,-1.735,1.518,1,6704
"z[359,4]",-0.615,0.951,-2.17,0.972,1,7425
"z[360,4]",-0.176,0.939,-1.731,1.342,1.001,7940
"z[361,4]",-0.026,0.796,-1.346,1.275,1.003,2351
"z[362,4]",-0.471,0.979,-2.087,1.158,1,6734
"z[363,4]",0.043,0.943,-1.54,1.606,1.001,7172
"z[364,4]",0.35,0.978,-1.242,1.958,1,8157
"z[365,4]",0.261,0.761,-0.961,1.532,1.001,4411
"z[366,4]",-0.067,0.79,-1.314,1.271,1.003,2262
"z[367,4]",1.252,0.72,0.084,2.417,1.001,4967
"z[368,4]",-0.13,0.95,-1.699,1.455,1,8428
"z[369,4]",0.162,0.812,-1.192,1.488,1.001,5669
"z[370,4]",-0.024,0.959,-1.569,1.567,1.003,5275
"z[371,4]",0.305,0.775,-0.981,1.566,1.001,6119
"z[372,4]",0.158,0.991,-1.472,1.778,1,4815
"z[373,4]",0.857,0.923,-0.663,2.383,1,6694
"z[374,4]",0.209,0.733,-1.011,1.415,1,6986
"z[375,4]",1.03,0.848,-0.366,2.415,1,8042
"z[376,4]",0.321,0.726,-0.894,1.488,1.001,6314
"z[377,4]",0.026,0.806,-1.283,1.367,1,8112
"z[378,4]",-0.109,0.905,-1.579,1.366,1.001,4343
"z[379,4]",0.162,0.851,-1.246,1.566,1.001,7265
"z[380,4]",-0.867,0.753,-2.102,0.37,1,8267
"z[381,4]",0.838,0.771,-0.447,2.106,1,5785
"z[382,4]",-0.194,0.84,-1.59,1.167,1.001,5843
"z[383,4]",0.53,0.839,-0.868,1.882,1,8122
"z[384,4]",-0.514,0.745,-1.722,0.749,1.001,8399
"z[385,4]",0.659,0.792,-0.663,1.949,1,7241
"z[386,4]",0.152,0.901,-1.317,1.634,1.001,8119
"z[387,4]",0.455,0.764,-0.831,1.688,1,7957
"z[388,4]",-0.287,0.909,-1.774,1.218,1.001,7396
"z[389,4]",0.189,0.757,-1.064,1.432,1,7303
"z[390,4]",0.108,0.882,-1.358,1.549,1.003,2929
"z[391,4]",0.192,0.86,-1.228,1.605,1,8293
"z[392,4]",1.087,0.868,-0.351,2.483,1.002,4499
"z[393,4]",0.016,0.761,-1.227,1.274,1.002,4972
"z[394,4]",0.343,0.744,-0.886,1.573,1.001,7342
"z[395,4]",-0.024,0.928,-1.553,1.514,1.001,7291
"z[396,4]",-0.12,0.941,-1.671,1.411,1.001,8268
"z[397,4]",0.626,0.961,-0.956,2.199,1.002,4690
"z[398,4]",-0.473,0.932,-2.011,1.073,1,8207
"z[399,4]",0.021,0.973,-1.61,1.607,1,7818
"z[400,4]",-0.842,0.935,-2.379,0.694,1.001,4970
"z[401,4]",0.095,0.967,-1.479,1.698,1.001,6801
