parameter,mean,sd,q05,q95,rhat,ess
"z[309,3]",0.157,0.232,-0.196,0.553,1.005,1233
"z[310,3]",-1.248,0.218,-1.597,-0.9,1.001,4136
"z[311,3]",-0.274,0.221,-0.625,0.096,1.001,2761
"z[312,3]",0.157,0.22,-0.195,0.516,1.001,5943
"z[313,3]",-0.33,0.266,-0.765,0.097,1,5105
"z[314,3]",-1.648,0.272,-2.085,-1.203,1.002,3515
"z[315,3]",1.111,0.259,0.715,1.553,1.001,3003
"z[316,3]",1.478,0.293,0.981,1.935,1.001,3825
"z[317,3]",-1.732,0.256,-2.142,-1.3,1.001,5406
"z[318,3]",0.201,0.285,-0.269,0.667,1.001,5336
"z[319,3]",-1.467,0.242,-1.859,-1.08,1,6720
"z[320,3]",0.796,0.278,0.337,1.253,1.001,6945
"z[321,3]",-0.573,0.27,-0.976,-0.113,1.004,1097
"z[322,3]",0.732,0.255,0.326,1.166,1,4543
"z[323,3]",0.196,0.226,-0.171,0.56,1.001,4756
"z[324,3]",0.541,0.29,0.059,1.004,1,6434
"z[325,3]",-0.423,0.21,-0.754,-0.073,1.001,5133
"z[326,3]",-0.154,0.275,-0.605,0.303,1,5565
"z[327,3]",0.835,0.209,0.501,1.184,1.001,4557
"z[328,3]",-0.793,0.198,-1.113,-0.474,1,5266
"z[329,3]",-2.074,0.229,-2.446,-1.694,1,6114
"z[330,3]",1.595,0.208,1.255,1.931,1.001,5923
"z[331,3]",-0.078,0.236,-0.439,0.327,1.003,2129
"z[332,3]",0.367,0.256,-0.058,0.783,1.002,4159
"z[333,3]",1.596,0.225,1.224,1.959,1,5756
"z[334,3]",-0.503,0.275,-0.963,-0.064,1.001,7019
"z[335,3]",0.238,0.22,-0.116,0.602,1.001,6165
"z[336,3]",-0.605,0.294,-1.078,-0.12,1.002,5033
"z[337,3]",-1.182,0.23,-1.551,-0.807,1.001,4862
"z[338,3]",-2.107,0.22,-2.456,-1.746,1.002,2901
"z[339,3]",0.071,0.23,-0.324,0.419,1.005,1210
"z[340,3]",-0.8,0.222,-1.18,-0.458,1.003,1845
"z[341,3]",-1.76,0.238,-2.158,-1.381,1.002,2465
"z[342,3]",0.917,0.228,0.535,1.262,1.002,2045
"z[343,3]",-1.249,0.228,-1.614,-0.876,1.001,6288
"z[344,3]",0.426,0.228,0.051,0.794,1,5255
"z[345,3]",-0.342,0.234,-0.719,0.046,1.001,4986
"z[346,3]",-0.651,0.199,-0.979,-0.336,1.001,3341
"z[347,3]",0.161,0.314,-0.361,0.671,1.001,8014
"z[348,3]",0.498,0.214,0.165,0.858,1.001,4902
"z[349,3]",-0.882,0.259,-1.296,-0.461,1.001,5510
"z[350,3]",-0.758,0.209,-1.105,-0.421,1,5967
"z[351,3]",-0.396,0.244,-0.808,-0.007,1,5574
"z[352,3]",2.163,0.231,1.792,2.542,1.001,4858
"z[353,3]",-0.544,0.211,-0.884,-0.194,1.001,5292
"z[354,3]",-0.461,0.245,-0.851,-0.06,1.001,4966
"z[355,3]",-0.807,0.227,-1.153,-0.421,1.003,2210
"z[356,3]",-0.073,0.242,-0.464,0.329,1.001,5494
"z[357,3]",0.438,0.209,0.094,0.771,1.002,4605
"z[358,3]",0.119,0.363,-0.471,0.716,1.001,7934
"z[359,3]",0.104,0.282,-0.356,0.567,1.002,6294
"z[360,3]",0.237,0.269,-0.198,0.677,1.001,7389
"z[361,3]",-0.735,0.195,-1.049,-0.422,1.001,6475
"z[362,3]",-0.173,0.33,-0.71,0.37,1.001,6369
"z[363,3]",0.299,0.291,-0.177,0.766,1.001,5843
"z[364,3]",-0.36,0.318,-0.885,0.157,1,7895
"z[365,3]",0.275,0.221,-0.088,0.64,1,4657
"z[366,3]",-1.986,0.284,-2.424,-1.503,1.008,819
"z[367,3]",-0.61,0.193,-0.935,-0.303,1.001,4066
"z[368,3]",-0.739,0.304,-1.217,-0.234,1.001,5422
"z[369,3]",0.041,0.216,-0.316,0.391,1,5417
"z[370,3]",-1.299,0.281,-1.742,-0.833,1.001,5682
"z[371,3]",1.179,0.211,0.852,1.534,1.001,3392
"z[372,3]",-1.132,0.381,-1.74,-0.497,1,7948
"z[373,3]",0.456,0.27,0.017,0.891,1,4580
"z[374,3]",0.963,0.21,0.618,1.304,1.001,4920
"z[375,3]",-0.821,0.221,-1.191,-0.475,1.003,5519
"z[376,3]",-0.39,0.235,-0.786,-0.018,1.003,2555
"z[377,3]",0.471,0.235,0.094,0.863,1,4837
"z[378,3]",0.119,0.255,-0.301,0.531,1,5967
"z[379,3]",0.266,0.25,-0.137,0.681,1.002,4169
"z[380,3]",-0.933,0.213,-1.275,-0.576,1.001,4603
"z[381,3]",1.649,0.242,1.258,2.043,1.001,4655
"z[382,3]",-0.306,0.235,-0.701,0.056,1.004,2393
"z[383,3]",-0.75,0.273,-1.204,-0.304,1.002,3570
"z[384,3]",0.157,0.23,-0.218,0.537,1.001,5228
"z[385,3]",0.352,0.24,-0.041,0.741,1,5165
"z[386,3]",0.693,0.25,0.289,1.1,1.001,6491
"z[387,3]",-0.061,0.205,-0.395,0.27,1,6268
"z[388,3]",0.16,0.273,-0.267,0.624,1.001,5339
"z[389,3]",-0.43,0.217,-0.767,-0.055,1.004,1666
"z[390,3]",-1.386,0.244,-1.762,-0.972,1.001,3179
"z[391,3]",0.806,0.239,0.412,1.191,1,5220
"z[392,3]",0.39,0.228,0.003,0.736,1.001,2649
"z[393,3]",-0.093,0.213,-0.441,0.259,1.002,4198
"z[394,3]",-0.54,0.213,-0.892,-0.197,1.001,3969
"z[395,3]",0.535,0.293,0.048,0.994,1,5988
"z[396,3]",-1.682,0.298,-2.148,-1.19,1.001,3605
"z[397,3]",-0.217,0.29,-0.691,0.25,1.001,5841
"z[398,3]",0.538,0.269,0.107,0.974,1.002,7644
"z[399,3]",-0.142,0.347,-0.709,0.43,1.001,6237
"z[400,3]",1.717,0.269,1.279,2.145,1,6964
"z[401,3]",-0.194,0.334,-0.737,0.357,1.001,6986
"z[402,3]",0.334,0.226,-0.035,0.707,1,4845
"z[403,3]",-0.125,0.299,-0.614,0.369,1.001,7564
"z[404,3]",1.468,0.265,1.039,1.909,1.001,6921
"z[405,3]",1.37,0.301,0.865,1.85,1,5056
"z[406,3]",1.61,0.228,1.234,1.967,1.004,2567
"z[407,3]",0.758,0.334,0.194,1.276,1.003,1746
"z[408,3]",0.185,0.274,-0.268,0.629,1,7142
"z[409,3]",1.159,0.272,0.716,1.606,1.001,5404
"z[410,3]",-0.749,0.248,-1.157,-0.347,1,6143
"z[411,3]",-0.884,0.293,-1.364,-0.407,1.001,7016
"z[412,3]",0.761,0.274,0.313,1.202,1.001,6140
"z[413,3]",0.247,0.31,-0.256,0.748,1,7114
"z[414,3]",0.061,0.195,-0.236,0.384,1.001,3348
"z[415,3]",-1.388,0.336,-1.926,-0.817,1,5793
"z[416,3]",-1.074,0.199,-1.406,-0.759,1.001,3495
"z[417,3]",0.881,0.221,0.529,1.245,1.002,3730
"z[418,3]",-0.051,0.236,-0.433,0.329,1.001,6110
"z[419,3]",0.206,0.249,-0.202,0.615,1.001,5715
"z[420,3]",0.508,0.301,0.016,1.003,1,6959
"z[421,3]",-1.603,0.297,-2.092,-1.13,1.001,5797
"z[422,3]",-1.148,0.196,-1.474,-0.837,1.001,4496
"z[423,3]",-0.327,0.213,-0.654,0.027,1.002,2764
"z[424,3]",0.244,0.201,-0.074,0.585,1.001,4848
"z[425,3]",0.325,0.2,0,0.648,1.001,4926
"z[426,3]",-1.101,0.241,-1.472,-0.699,1.002,2666
"z[427,3]",0.083,0.275,-0.368,0.535,1.001,7546
"z[428,3]",0.486,0.313,-0.019,1.018,1.001,4823
"z[429,3]",1.501,0.229,1.134,1.881,1.001,4375
"z[430,3]",-0.515,0.225,-0.88,-0.15,1.001,4378
"z[431,3]",1.289,0.328,0.746,1.804,1.001,6023
"z[432,3]",0.9,0.213,0.536,1.231,1.003,2312
"z[433,3]",-0.388,0.287,-0.863,0.074,1.001,5930
"z[434,3]",-1.265,0.219,-1.624,-0.919,1,5763
"z[435,3]",0.897,0.325,0.36,1.415,1.001,6900
"z[436,3]",0.709,0.234,0.34,1.099,1.001,4758
"z[437,3]",-0.115,0.241,-0.493,0.297,1.003,3816
"z[438,3]",-0.827,0.247,-1.219,-0.414,1.001,5832
"z[439,3]",-1.301,0.26,-1.751,-0.902,1.002,2513
"z[440,3]",-0.241,0.287,-0.715,0.224,1.001,6902
"z[441,3]",0.113,0.215,-0.238,0.46,1.001,5539
"z[442,3]",0.063,0.341,-0.497,0.621,1.001,6397
"z[443,3]",1.626,0.368,1.02,2.212,1.001,3285
"z[444,3]",-0.466,0.276,-0.918,-0.02,1.001,7054
"z[445,3]",0.06,0.27,-0.349,0.526,1.006,1109
"z[446,3]",0.102,0.217,-0.261,0.444,1,4630
"z[447,3]",1.175,0.201,0.852,1.508,1.001,5938
"z[448,3]",0.857,0.25,0.452,1.257,1.001,6194
"z[449,3]",-0.804,0.226,-1.167,-0.432,1.001,4240
"z[450,3]",-0.751,0.322,-1.268,-0.219,1,7925
"z[451,3]",-0.792,0.216,-1.152,-0.443,1.001,6087
"z[452,3]",0.086,0.243,-0.32,0.478,1.001,4919
"z[453,3]",0.498,0.276,0.048,0.943,1,7657
"z[454,3]",-0.938,0.255,-1.342,-0.511,1.001,4070
"z[455,3]",0.914,0.235,0.551,1.317,1.003,1934
"z[456,3]",0.83,0.245,0.453,1.249,1.006,1701
"z[457,3]",0.3,0.215,-0.054,0.646,1,4173
"z[458,3]",-0.318,0.223,-0.654,0.072,1.003,1414
"z[459,3]",0.019,0.312,-0.498,0.524,1.001,6111
"z[460,3]",0.683,0.221,0.327,1.043,1.001,6601
"z[461,3]",0.812,0.223,0.425,1.152,1.002,2448
"z[462,3]",0.507,0.197,0.187,0.826,1,5447
"z[463,3]",0.948,0.279,0.499,1.412,1.001,6017
"z[464,3]",0.059,0.233,-0.325,0.433,1.001,3095
"z[465,3]",-0.697,0.251,-1.101,-0.281,1.001,6454
"z[466,3]",1.63,0.294,1.133,2.093,1.002,4652
"z[467,3]",-0.053,0.198,-0.377,0.264,1,4194
"z[468,3]",0.993,0.221,0.637,1.348,1.001,6419
"z[469,3]",1.949,0.297,1.477,2.437,1.001,5607
"z[470,3]",-0.103,0.336,-0.649,0.452,1,6909
"z[471,3]",0.203,0.278,-0.249,0.659,1.001,6987
"z[472,3]",1.711,0.336,1.137,2.24,1.001,3542
"z[473,3]",-0.862,0.306,-1.352,-0.361,1.001,6993
"z[474,3]",0.209,0.324,-0.324,0.734,1,6269
"z[475,3]",2.132,0.253,1.709,2.529,1,5693
"z[476,3]",0.481,0.339,-0.054,1.057,1.001,2118
"z[477,3]",0.527,0.274,0.067,0.971,1,5513
"z[478,3]",0.242,0.244,-0.157,0.635,1,6383
"z[479,3]",-0.611,0.276,-1.041,-0.151,1.001,6071
"z[480,3]",0.675,0.26,0.244,1.093,1.001,6147
"z[481,3]",-1.152,0.24,-1.533,-0.757,1.001,5732
"z[482,3]",-1.957,0.245,-2.357,-1.556,1,4554
"z[483,3]",0.641,0.2,0.32,0.973,1.001,4687
"z[484,3]",-2.223,0.233,-2.58,-1.821,1.003,1705
"z[485,3]",-0.654,0.331,-1.187,-0.104,1.001,6524
"z[486,3]",-0.888,0.29,-1.354,-0.414,1,6384
"z[487,3]",-0.313,0.25,-0.733,0.078,1.001,2542
"z[488,3]",0.266,0.285,-0.165,0.757,1.003,1388
"z[489,3]",0.458,0.292,-0.023,0.929,1.002,6027
"z[490,3]",-0.203,0.281,-0.651,0.258,1.001,5693
"z[491,3]",0.484,0.246,0.084,0.883,1.001,5218
"z[492,3]",-0.539,0.318,-1.054,-0.016,1.001,5676
"z[493,3]",-2.11,0.297,-2.597,-1.625,1,5142
"z[494,3]",0.199,0.231,-0.184,0.576,1.001,3654
"z[495,3]",1.478,0.245,1.077,1.865,1.001,2787
"z[496,3]",0.53,0.262,0.087,0.943,1.002,4001
"z[497,3]",0.604,0.285,0.152,1.079,1.001,2998
"z[498,3]",0.057,0.285,-0.417,0.519,1.001,6173
"z[499,3]",-0.788,0.286,-1.264,-0.32,1.001,6353
"z[500,3]",2.468,0.273,2.014,2.896,1.002,3202
"z[501,3]",1.144,0.219,0.792,1.503,1.001,4460
"z[502,3]",0.997,0.239,0.601,1.379,1.004,1661
"z[503,3]",0.655,0.259,0.203,1.047,1.003,1668
"z[504,3]",-0.812,0.327,-1.344,-0.277,1,3945
"z[505,3]",1.271,0.21,0.917,1.602,1.002,2897
"z[506,3]",-0.309,0.329,-0.853,0.235,1.001,6618
"z[507,3]",0.198,0.198,-0.13,0.513,1,3872
"z[508,3]",1.647,0.202,1.317,1.973,1.001,5205
"z[509,3]",-0.361,0.294,-0.84,0.125,1.001,6585
"z[510,3]",0.495,0.272,0.062,0.944,1.003,7289
"z[511,3]",-0.516,0.289,-0.999,-0.044,1.001,5264
"z[512,3]",-0.079,0.21,-0.427,0.254,1.002,2671
"z[513,3]",-0.678,0.279,-1.141,-0.235,1.001,6841
"z[514,3]",1.537,0.336,0.993,2.091,1.001,5392
"z[515,3]",-0.918,0.325,-1.438,-0.381,1,7585
"z[516,3]",0.73,0.284,0.268,1.187,1.001,6222
"z[517,3]",-0.597,0.333,-1.138,-0.035,1.001,6701
"z[518,3]",0.519,0.277,0.056,0.964,1,5538
"z[519,3]",0.288,0.278,-0.176,0.731,1,5708
"z[520,3]",-0.075,0.277,-0.533,0.374,1.001,5375
"z[521,3]",-0.982,0.229,-1.357,-0.613,1.001,6700
"z[522,3]",-0.458,0.401,-1.089,0.213,1,7959
"z[523,3]",0.317,0.42,-0.405,0.969,1,7181
"z[524,3]",-0.517,0.384,-1.124,0.125,1.001,6913
"z[525,3]",1.452,0.453,0.688,2.131,1,5803
"z[526,3]",-0.696,0.466,-1.379,0.122,1,4410
"z[527,3]",-0.471,0.367,-1.058,0.131,1,7860
"z[528,3]",-0.464,0.392,-1.032,0.221,1,4425
"z[529,3]",1.358,0.433,0.623,1.999,1.001,4739
"z[530,3]",-0.24,0.411,-0.918,0.412,1.001,7759
"z[531,3]",0.851,0.412,0.16,1.48,1,7518
"z[532,3]",0.493,0.377,-0.119,1.089,1.001,8206
"z[533,3]",0.038,0.387,-0.63,0.614,1.001,6187
"z[534,3]",-1.673,0.431,-2.314,-0.941,1.001,3961
"z[535,3]",-1.648,0.409,-2.26,-0.949,1,6088
"z[536,3]",0.573,0.394,-0.045,1.224,1.001,6952
"z[537,3]",0.077,0.39,-0.547,0.715,1,7441
"z[538,3]",-0.692,0.415,-1.302,0.026,1,4722
"z[539,3]",0.56,0.419,-0.098,1.253,1.001,7478
"z[540,3]",-0.852,0.387,-1.468,-0.228,1.001,6551
"z[541,3]",-1.344,0.391,-1.94,-0.692,1.001,5497
"z[542,3]",0.858,0.388,0.234,1.489,1.001,7587
"z[543,3]",1.405,0.465,0.613,2.113,1,4727
"z[544,3]",0.024,0.415,-0.632,0.7,1,8034
"z[545,3]",1.746,0.44,1.048,2.447,1,6253
"z[546,3]",-0.544,0.385,-1.147,0.087,1,7885
"z[547,3]",0.202,0.43,-0.452,0.945,1,5672
"z[548,3]",-0.852,0.394,-1.515,-0.246,1.001,6766
"z[549,3]",-0.939,0.46,-1.613,-0.131,1,2987
"z[550,3]",0.118,0.443,-0.556,0.881,1,6517
"z[551,3]",-0.468,0.386,-1.109,0.146,1.001,7481
"z[552,3]",0.047,0.403,-0.591,0.708,1.001,8138
"z[553,3]",-0.496,0.378,-1.071,0.151,1.001,6551
"z[554,3]",-0.21,0.416,-0.905,0.441,1.001,7967
"z[555,3]",0.78,0.391,0.109,1.372,1,6349
"z[556,3]",-0.02,0.37,-0.583,0.594,1,7683
"z[557,3]",-0.043,0.375,-0.618,0.59,1,5958
"z[558,3]",0.327,0.44,-0.444,0.985,1.001,6052
"z[559,3]",-0.973,0.424,-1.594,-0.221,1.001,4736
"z[560,3]",-0.641,0.406,-1.271,0.035,1,6143
"z[561,3]",0.231,0.453,-0.528,0.949,1,5459
"z[562,3]",-0.258,0.381,-0.873,0.358,1.001,7892
"z[563,3]",0.248,0.38,-0.366,0.857,1,8004
"z[564,3]",-0.014,0.395,-0.612,0.639,1.001,6390
"z[565,3]",0.402,0.405,-0.219,1.071,1.001,7302
"z[566,3]",0.35,0.368,-0.255,0.93,1,7138
"z[567,3]",0.947,0.39,0.31,1.554,1,7469
"z[568,3]",0.539,0.406,-0.07,1.24,1.001,5110
"z[569,3]",-0.84,0.41,-1.436,-0.152,1,5879
"z[570,3]",-0.003,0.393,-0.608,0.648,1.001,7264
"z[571,3]",-0.227,0.451,-0.991,0.477,1,6607
"z[572,3]",-0.563,0.426,-1.188,0.18,1.001,4888
"z[573,3]",1.058,0.399,0.382,1.653,1.001,5525
"z[574,3]",0.723,0.403,0.054,1.339,1,6798
"z[575,3]",-0.254,0.449,-0.954,0.492,1,7128
"z[576,3]",0.313,0.403,-0.358,0.921,1.001,6823
"z[577,3]",0.369,0.395,-0.285,0.981,1,7376
"z[578,3]",-0.086,0.425,-0.714,0.671,1,4332
"z[579,3]",0.527,0.415,-0.133,1.202,1,7314
"z[580,3]",-0.099,0.443,-0.865,0.576,1.001,5388
"z[581,3]",-1.298,0.386,-1.946,-0.701,1.001,7152
"z[582,3]",-0.45,0.38,-1.08,0.147,1.001,7917
"z[583,3]",0.558,0.454,-0.242,1.233,1,3870
"z[584,3]",0.416,0.418,-0.276,1.07,1,7308
"z[585,3]",0.058,0.412,-0.655,0.652,1.001,5784
"z[586,3]",-0.333,0.411,-0.995,0.323,1,7314
"z[587,3]",0.636,0.404,-0.037,1.269,1.001,6740
"z[588,3]",1.428,0.423,0.722,2.069,1.001,5401
"z[589,3]",-0.454,0.387,-1.088,0.135,1,7471
"z[590,3]",-0.515,0.389,-1.106,0.132,1,6727
"z[591,3]",-1.261,0.412,-1.901,-0.559,1.001,5959
"z[592,3]",-1.36,0.378,-1.991,-0.767,1.001,6493
"z[593,3]",-0.487,0.382,-1.073,0.154,1,7419
"z[594,3]",0.006,0.379,-0.575,0.649,1,7507
"z[595,3]",-0.764,0.423,-1.438,-0.07,1,7263
"z[596,3]",1.564,0.436,0.846,2.244,1,6227
"z[597,3]",-0.457,0.402,-1.106,0.195,1,7004
"z[598,3]",-1.399,0.391,-1.988,-0.743,1.001,5127
"z[599,3]",0.971,0.414,0.307,1.643,1,8142
"z[600,3]",-0.898,0.417,-1.58,-0.226,1,7513
"z[601,3]",-0.071,0.425,-0.774,0.614,1,7298
"z[602,3]",-0.816,0.44,-1.481,-0.072,1.001,6139
"z[603,3]",-1.829,0.433,-2.508,-1.105,1.001,5591
"z[604,3]",-0.419,0.374,-1.013,0.195,1.001,7641
"z[605,3]",-0.539,0.389,-1.164,0.094,1.001,6552
"z[606,3]",-0.381,0.389,-0.996,0.246,1,7259
"z[607,3]",-0.689,0.469,-1.523,0.004,1.001,2978
"z[608,3]",-0.362,0.397,-0.995,0.295,1,7950
"z[609,3]",-1.839,0.428,-2.516,-1.149,1,6711
"z[610,3]",0.642,0.497,-0.191,1.422,1.001,6993
"z[611,3]",0.041,0.436,-0.637,0.781,1.002,7238
"z[612,3]",0.812,0.43,0.105,1.483,1,7177
"z[613,3]",0.101,0.405,-0.596,0.696,1,4737
"z[614,3]",-0.924,0.449,-1.678,-0.224,1,4525
"z[615,3]",-1.043,0.437,-1.688,-0.273,1.001,4423
"z[616,3]",-0.573,0.406,-1.203,0.11,1,5786
"z[617,3]",0.8,0.394,0.157,1.431,1,7068
"z[618,3]",-0.143,0.384,-0.715,0.523,1.001,5369
"z[619,3]",-0.68,0.483,-1.444,0.121,1.001,6754
"z[620,3]",0.719,0.409,0.069,1.377,1,8052
"z[621,3]",2.192,0.448,1.458,2.868,1,4886
"z[622,3]",-0.642,0.415,-1.306,0.036,1.001,8120
"z[623,3]",-0.034,0.406,-0.717,0.6,1.001,7210
"z[624,3]",-0.818,0.393,-1.447,-0.177,1.001,7410
"z[625,3]",0.61,0.429,-0.093,1.294,1.001,7257
"z[626,3]",-1.29,0.426,-1.946,-0.573,1.001,4249
"z[627,3]",1.539,0.404,0.902,2.194,1.001,6906
"z[628,3]",2.507,0.445,1.74,3.157,1.002,3340
"z[629,3]",-0.64,0.43,-1.303,0.088,1.001,6354
"z[630,3]",1.36,0.471,0.585,2.118,1.001,5936
"z[631,3]",1.566,0.488,0.709,2.308,1,4605
"z[632,3]",0.877,0.422,0.165,1.542,1.001,7076
"z[633,3]",0.481,0.429,-0.226,1.17,1,6398
"z[634,3]",-0.783,0.4,-1.387,-0.103,1.001,5533
"z[635,3]",-0.361,0.409,-1.069,0.26,1,5737
"z[636,3]",-1.023,0.39,-1.627,-0.381,1.001,7284
"z[637,3]",-0.74,0.411,-1.43,-0.105,1.001,6798
"z[638,3]",-0.745,0.393,-1.37,-0.085,1.001,6143
"z[639,3]",-1.267,0.436,-1.907,-0.515,1.001,5194
"z[640,3]",0.546,0.435,-0.195,1.208,1,4817
"z[641,3]",0.125,0.388,-0.488,0.751,1.001,7218
"z[642,3]",-0.349,0.417,-1.011,0.349,1,6819
"z[643,3]",1.62,0.416,0.942,2.268,1,6734
"z[644,3]",1.191,0.466,0.415,1.906,1,6445
"z[645,3]",-2.219,0.413,-2.864,-1.556,1,5614
"z[646,3]",1.004,0.433,0.242,1.653,1.001,4694
"z[647,3]",1.611,0.444,0.871,2.3,1,6312
"z[648,3]",-1.479,0.391,-2.103,-0.855,1.001,6657
"z[649,3]",-0.257,0.406,-0.856,0.447,1,4613
"z[650,3]",0.563,0.48,-0.179,1.349,1,6350
"z[651,3]",0.304,0.426,-0.417,0.979,1,7454
"z[652,3]",0.545,0.381,-0.053,1.182,1,6469
"z[653,3]",1.131,0.43,0.419,1.794,1.001,6728
"z[654,3]",2.256,0.46,1.464,2.92,1.001,2939
"z[655,3]",0.042,0.455,-0.664,0.831,1.001,4995
"z[656,3]",-0.744,0.43,-1.45,-0.044,1,7414
"z[657,3]",0.916,0.446,0.15,1.591,1.001,6352
"z[658,3]",0.822,0.396,0.168,1.42,1.001,7332
"z[659,3]",0.253,0.402,-0.433,0.874,1,7514
"z[660,3]",-1.289,0.429,-1.97,-0.586,1.001,7465
"z[661,3]",1.94,0.453,1.174,2.617,1.002,3698
"z[662,3]",-0.062,0.391,-0.713,0.556,1,6888
"z[663,3]",-0.527,0.417,-1.194,0.162,1,6524
"z[1,4]",-0.05,0.851,-1.453,1.341,1,8809
"z[2,4]",0.205,0.853,-1.209,1.607,1,8994
"z[3,4]",0.116,0.882,-1.362,1.545,1,8469
"z[4,4]",-0.017,0.868,-1.409,1.415,1,8756
"z[5,4]",0.127,0.871,-1.32,1.558,1,8509
"z[6,4]",0.018,0.855,-1.4,1.402,1,8462
"z[7,4]",0.165,0.972,-1.442,1.763,1,8225
"z[8,4]",-0.113,0.995,-1.713,1.533,1,8604
"z[9,4]",-1.037,0.929,-2.512,0.536,1,6428
"z[10,4]",-0.47,0.87,-1.868,0.98,1.002,8629
"z[11,4]",0.116,0.877,-1.297,1.562,1,7867
"z[12,4]",0.459,0.881,-1.05,1.865,1,8171
"z[13,4]",-0.347,0.95,-1.897,1.215,1,8228
"z[14,4]",-0.226,0.936,-1.733,1.358,1,8384
"z[15,4]",0.325,0.901,-1.174,1.793,1,7707
"z[16,4]",0.57,0.91,-0.938,2.055,1,8499
"z[17,4]",0.023,0.991,-1.627,1.659,1,8257
"z[18,4]",0.756,0.996,-0.921,2.366,1.001,7556
"z[19,4]",-2.252,1.155,-4.012,-0.204,1,4552
"z[20,4]",-0.208,0.987,-1.839,1.402,1,9034
"z[21,4]",0.024,0.977,-1.59,1.608,1,8666
"z[22,4]",0.183,0.989,-1.431,1.818,1,8718
"z[23,4]",-0.257,0.933,-1.795,1.293,1,8441
"z[24,4]",0.292,0.857,-1.125,1.684,1,8516
"z[25,4]",0.154,0.928,-1.38,1.707,1.001,8923
"z[26,4]",-0.15,0.888,-1.586,1.332,1,8797
"z[27,4]",-0.296,0.885,-1.746,1.164,1,8583
"z[28,4]",-0.417,0.924,-1.911,1.124,1,7522
"z[29,4]",-0.045,0.962,-1.624,1.531,1,8673
"z[30,4]",0.293,0.879,-1.146,1.722,1,8046
"z[31,4]",-0.124,0.847,-1.525,1.243,1,8664
"z[32,4]",1.029,0.98,-0.622,2.623,1,6144
"z[33,4]",-0.208,0.933,-1.747,1.302,1,8620
"z[34,4]",0.251,0.999,-1.38,1.887,1,8541
"z[35,4]",0.091,0.843,-1.289,1.481,1,8100
"z[36,4]",-0.077,0.974,-1.668,1.523,1,8310
"z[37,4]",-0.054,0.869,-1.461,1.367,1,8566
"z[38,4]",-0.342,0.91,-1.812,1.15,1,8164
"z[39,4]",-0.423,0.906,-1.882,1.092,1.001,8084
"z[40,4]",-0.04,0.866,-1.438,1.383,1.001,9258
"z[41,4]",-0.506,0.872,-1.905,0.931,1,8679
"z[42,4]",0.696,0.884,-0.774,2.143,1.001,8097
"z[43,4]",-0.573,0.886,-2.023,0.895,1.001,7385
"z[44,4]",0.068,0.979,-1.512,1.694,1,8005
"z[45,4]",-0.04,0.997,-1.66,1.626,1,8554
"z[46,4]",0.52,0.853,-0.899,1.913,1,7582
"z[47,4]",0.182,0.94,-1.361,1.73,1,8673
"z[48,4]",0.254,0.924,-1.267,1.744,1,8218
"z[49,4]",-0.246,0.847,-1.633,1.184,1,8452
"z[50,4]",0.091,0.863,-1.337,1.51,1,9160
"z[51,4]",0.16,0.846,-1.224,1.568,1,8687
"z[52,4]",-0.264,0.887,-1.735,1.185,1,8828
"z[53,4]",-0.068,0.853,-1.413,1.361,1,8747
"z[54,4]",0.384,0.926,-1.19,1.89,1,8537
"z[55,4]",-0.149,0.85,-1.538,1.236,1,8984
"z[56,4]",0.047,0.853,-1.361,1.441,1,8800
"z[57,4]",-0.451,0.876,-1.863,1.019,1,7860
"z[58,4]",-0.054,0.855,-1.456,1.368,1.001,9340
"z[59,4]",-0.185,0.864,-1.571,1.258,1,8632
"z[60,4]",0.481,0.869,-0.969,1.914,1,7755
"z[61,4]",0.177,0.852,-1.227,1.567,1,8856
"z[62,4]",0.104,0.887,-1.366,1.53,1,8650
"z[63,4]",-0.044,0.841,-1.409,1.34,1,8493
"z[64,4]",-0.22,0.852,-1.611,1.162,1,8774
"z[65,4]",-0.063,0.851,-1.469,1.349,1,9444
"z[66,4]",-0.316,0.863,-1.719,1.1,1,8741
"z[67,4]",0.112,0.937,-1.39,1.684,1,8705
"z[68,4]",-0.172,0.901,-1.662,1.309,1,8537
"z[69,4]",-0.126,0.855,-1.536,1.298,1,8224
"z[70,4]",-0.653,0.903,-2.085,0.877,1.001,6612
"z[71,4]",0.357,0.857,-1.054,1.765,1,7852
"z[72,4]",-0.279,0.926,-1.782,1.26,1,8798
"z[73,4]",0.67,0.859,-0.767,2.036,1.001,7522
"z[74,4]",-0.303,0.87,-1.731,1.137,1,8263
"z[75,4]",-0.409,0.882,-1.854,1.058,1.001,8557
"z[76,4]",-0.033,0.922,-1.55,1.511,1,8829
"z[77,4]",0.158,0.983,-1.47,1.77,1,8667
"z[78,4]",-0.358,0.94,-1.885,1.211,1,8469
"z[79,4]",-0.07,0.926,-1.606,1.457,1.001,8457
"z[80,4]",-0.074,0.845,-1.468,1.322,1,8255
"z[81,4]",-0.032,0.889,-1.493,1.414,1,8951
"z[82,4]",-0.183,0.873,-1.609,1.276,1,9028
"z[83,4]",-0.356,0.894,-1.779,1.144,1.002,8341
"z[84,4]",0.09,0.852,-1.295,1.523,1,8725
"z[85,4]",-0.017,0.866,-1.444,1.411,1,8894
"z[86,4]",0.077,0.929,-1.43,1.588,1,8291
"z[87,4]",-0.251,0.886,-1.721,1.232,1,8864
